Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,BuP_T1,BuP_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2018-2019,1,CHIEVOVERONA,JUVENTUS,18/08/2018,STADIUM MARCANTONIO BENTEGODI,18:00:00,FABRIZIO  PASQUA,ALESSANDRO  COSTANZO,STEFANO  LIBERTI,JUAN LUCA  SACCHI,PAOLO SILVIO  MAZZOLENI,ALFONSO MARRAZZO,2,3,A,LORENZO D'ANNA,MASSIMILIANO ALLEGRI,4-5-1,4-2-3-1,97'56,51'18,0.52,13'24 (26%),8'21 (62%),5'03 (38%),37'54 (74%),14'43 (39%),23'11 (61%),1'33,1'21,2'33,3'24,2'30,2'02,6'32,7'27,7'24,6'14,4'39,5'38,6,22,2(2),11(2),1,1,2,7,4,11,8,0,2,16,1,2,1,3,0,8,7,9,215,634,0.76,0.91,16,47,62,229,137,358,15,32,15,23,1 (1),0 (0),113.268,27.073,78.197,7.998,106.714,30.341,68.854,7.519,6.9,6.5,10 (37%),1 (4%),16 (59%),34 (54%),6 (9%),23 (37%),0/0,0/2,2/2,1/2,1/1,1/1,1/3,0/2,7/10,2/3,0/5,1/3,EMANUELE GIACCHERINI,17,FEDERICO BERNARDESCHI,33,13.0,5.75,1.25
2018-2019,1,LAZIO,NAPOLI,18/08/2018,STADIUM OLIMPICO,20:30:00,LUCA  BANTI,LORENZO  MANGANELLI,FILIPPO  VALERIANI,GIANLUCA  MANGANIELLO,GIANLUCA  ROCCHI,ELENITO DI LIBERATORE,1,2,A,SIMONE INZAGHI,CARLO ANCELOTTI,5-3-1-1,4-3-3,97'16,57'46,0.59,23'02 (40%),12'46 (55%),10'16 (45%),34'44 (60%),18'07 (52%),16'37 (48%),5'21,4'56,2'39,1'57,3'12,4'56,4'32,5'33,5'23,6'55,6'10,6'11,9,11,5(1),6(2),0,0,5,4,4,5,2,2,5,7,1,2,4,2,4,7,8,5,336,663,0.77,0.86,26,35,107,187,203,441,16,28,15,18,0 (0),0 (0),115.811,26.898,80.241,8.672,111.186,29.252,72.504,9.43,7.0,6.9,24 (60%),7 (17%),9 (23%),23 (43%),13 (24%),18 (33%),1/2,0/1,0/1,2/2,0/0,0/0,1/1,0/1,2/2,1/2,2/2,1/1,CIRO IMMOBILE,17,LORENZO INSIGNE,24,2.8,3.4,2.5
2018-2019,1,TORINO,ROMA,19/08/2018,STADIUM OLIMPICO GRANDE TORINO,18:00:00,MARCO  DI BELLO,FABRIZIO  POSADO,PASQUALE  DE MEO,EUGENIO  ABBATTISTA,DAVIDE  MASSA,MAURO TONOLINI,0,1,A,WALTER MAZZARRI,EUSEBIO DI FRANCESCO,3-5-2,4-3-3,99'28,49'50,0.5,24'56 (50%),14'41 (59%),10'15 (41%),24'54 (50%),12'05 (49%),12'49 (51%),2'56,3'49,5'14,3'07,4'26,5'24,3'34,5'57,6'45,1'35,3'54,3'09,8,16,5(0),13(1),0,0,2,11,3,3,5,4,6,9,0,1,2,1,6,5,10,14,232,364,0.71,0.8,34,31,66,145,132,188,17,24,20,21,0 (0),0 (0),105.98,30.057,66.95,8.973,103.048,31.005,63.237,8.806,6.4,6.3,22 (52%),6 (15%),14 (33%),15 (26%),14 (24%),29 (50%),0/0,2/3,4/7,0/2,0/0,0/0,0/2,2/3,0/0,2/4,0/0,0/1,IAGO FALQUE,14,EDIN DZEKO,9,3.5,3.5,2.1
2018-2019,1,BOLOGNA,SPAL,19/08/2018,STADIUM RENATO DALL'ARA,20:30:00,PIERO  GIACOMELLI,EMANUELE  PRENNA,MATTEO  BOTTEGONI,ANTONIO  RAPUANO,LUIGI  NASCA,GIANLUCA VUOTO,0,1,A,FILIPPO INZAGHI,LEONARDO SEMPLICI,3-5-2,3-5-2,95'13,61'25,0.65,26'27 (43%),17'33 (66%),8'54 (34%),34'58 (57%),24'27 (70%),10'31 (30%),4'52,3'03,5'30,3'35,3'07,6'20,4'13,5'30,6'30,7'45,5'03,5'56,8,10,3(0),5(1),0,0,1,3,5,5,4,2,4,4,0,0,4,0,7,0,16,11,268,446,0.72,0.83,29,30,113,147,126,269,25,27,24,21,0 (0),0 (0),112.412,29.2,73.72,9.492,109.117,30.134,71.046,7.937,6.8,6.7,25 (44%),9 (16%),23 (40%),14 (30%),13 (29%),19 (41%),1/1,2/4,5/7,2/3,0/0,0/0,0/0,2/4,1/1,2/3,0/0,0/0,RODRIGO PALACIO,24,JASMIN KURTIC,19,2.25,3.2,3.4
2018-2019,1,EMPOLI,CAGLIARI,19/08/2018,STADIUM CARLO CASTELLANI,20:30:00,DANIELE  CHIFFI,MATTEO  PASSERI,MAURO  GALETTO,DAVIDE  GHERSINI,LUCA  PAIRETTO,ALESSIO TOLFO,2,0,H,AURELIO ANDREAZZOLI,ROLANDO MARAN,4-3-1-2,4-3-1-2,96'41,48'14,0.5,24'29 (51%),13'58 (57%),10'31 (43%),23'45 (49%),12'52 (54%),10'53 (46%),5'28,3'07,3'35,2'49,3'02,6'28,2'58,4'21,3'48,3'52,4'00,4'45,9,12,4(2),5(0),0,1,4,2,5,7,4,2,6,4,1,0,5,0,6,6,19,19,298,382,0.75,0.78,28,34,100,137,170,211,13,21,23,28,0 (0),0 (0),112.154,28.377,75.074,8.703,112.361,26.433,77.217,8.711,6.9,6.8,24 (56%),4 (9%),15 (35%),23 (35%),14 (21%),29 (44%),0/0,0/1,1/2,2/3,0/0,0/0,0/1,0/1,2/4,5/8,0/0,0/0,MIHA ZAJC,6,LEONARDO PAVOLETTI,30,2.14,3.2,3.6
2018-2019,1,PARMA,UDINESE,19/08/2018,STADIUM ENNIO TARDINI,20:30:00,GIANPAOLO  CALVARESE,ANTONIO  SANTORO,MARCO  BRESMES,ANTONIO  DI MARTINO,GIANLUCA  AURELIANO,GIORGIO SCHENONE,2,2,D,ROBERTO D'AVERSA,JULIO VELAZQUEZ,4-3-3,4-3-3,94'17,46'23,0.49,21'54 (47%),9'48 (45%),12'06 (55%),24'29 (53%),10'36 (43%),13'53 (57%),3'31,6'09,2'44,3'56,2'52,2'42,4'52,2'34,4'05,4'34,2'11,6'13,9,16,6(2),6(2),0,1,5,5,3,10,2,2,7,6,0,1,1,0,4,5,10,13,293,379,0.77,0.88,60,29,144,154,89,196,27,35,17,16,0 (0),1 (1),105.449,28.043,69.438,7.968,106.507,29.091,69.323,8.093,6.6,6.6,25 (51%),8 (16%),16 (33%),14 (25%),6 (11%),36 (64%),0/1,0/0,2/3,3/3,3/4,1/1,1/1,0/0,3/4,4/7,0/1,2/4,ANTONINO BARILLA',17,SEKO FOFANA,6,2.45,3.3,2.9
2018-2019,1,SASSUOLO,INTER,19/08/2018,STADIUM MAPEI STADIUM,20:30:00,MAURIZIO  MARIANI,CIRO  CARBONE,SERGIO  RANGHETTI,ALEANDRO  DI PAOLO,PAOLO  VALERI,STEFANO DEL GIOVANE,1,0,H,ROBERTO DE ZERBI,LUCIANO SPALLETTI,4-3-3,4-2-3-1,95'03,52'40,0.55,24'02 (46%),14'53 (62%),9'09 (38%),28'38 (54%),13'44 (48%),14'54 (52%),6'39,2'48,3'57,2'52,3'42,4'04,2'17,4'41,4'57,5'46,3'57,7'00,7,11,5(1),4(0),1,0,5,3,2,7,4,2,4,7,0,0,3,1,4,4,23,11,300,508,0.79,0.86,24,15,99,182,177,311,18,21,16,17,1 (1),0 (0),109.921,28.458,72.993,8.47,106.395,28.613,69.059,8.723,6.8,6.5,16 (41%),10 (26%),13 (33%),26 (43%),12 (20%),22 (37%),0/0,1/2,0/1,1/1,0/0,1/1,2/3,1/2,2/3,3/6,2/4,1/3,DOMENICO BERARDI,25,STEFAN DE VRIJ,6,5.5,4.0,1.61
2018-2019,1,ATALANTA,FROSINONE,20/08/2018,STADIUM ATLETI AZZURRI D'ITALIA,20:30:00,MARCO  PICCININI,FABIANO  PRETI,DOMENICO  ROCCA,ROSARIO  ABISSO,MICHAEL  FABBRI,ALESSANDRO LO CICERO,4,0,H,GIAN PIERO GASPERINI,MORENO LONGO,3-4-1-2,3-5-2,95'00,50'24,0.53,30'46 (61%),14'19 (47%),16'27 (53%),19'38 (39%),13'41 (70%),5'57 (30%),5'49,5'11,4'02,7'03,4'05,4'36,2'38,3'49,2'53,2'26,2'50,5'02,16,6,10(4),1(0),0,0,8,1,6,5,0,6,14,2,3,0,6,3,4,4,14,10,486,355,0.85,0.78,22,37,161,137,303,181,32,22,22,20,0 (0),0 (0),111.275,27.73,74.053,9.492,109.199,27.552,73.453,8.194,7.1,6.9,32 (46%),6 (9%),31 (45%),18 (43%),8 (19%),16 (38%),1/1,1/2,5/5,1/1,0/0,0/0,0/2,1/2,3/4,1/4,0/0,0/0,ALEJANDRO GOMEZ,10,CAMILLO CIANO,28,1.36,4.5,11.0
2018-2019,1,SAMPDORIA,FIORENTINA,19/09/2018,STADIUM LUIGI FERRARIS,19:00:00,FABIO  MARESCA,VALENTINO  FIORITO,DAMIANO  DI IORIO,LUCA  PAIRETTO,DAVIDE  MASSA,STEFANO ALASSIO,1,1,D,MARCO GIAMPAOLO,STEFANO PIOLI,4-3-1-2,4-3-3,93'10,46'43,0.5,26'13 (56%),11'26 (44%),14'47 (56%),20'30 (44%),13'47 (67%),6'43 (33%),3'40,5'27,3'42,3'35,3'45,6'04,4'40,4'27,2'53,2'45,2'08,3'37,8,14,4(1),9(1),2,1,1,6,4,5,8,2,7,15,1,1,3,1,4,6,14,15,452,261,0.81,0.74,12,23,122,101,318,137,35,29,20,13,0 (0),0 (0),101.1,28.977,64.191,7.932,103.314,28.815,66.884,7.615,6.3,6.5,15 (27%),11 (20%),29 (53%),13 (39%),4 (13%),16 (48%),0/0,1/3,4/4,0/3,0/0,0/0,0/0,1/3,2/6,3/8,0/0,0/0,GIANLUCA CAPRARI,17,GIOVANNI SIMEONE,9,2.87,3.25,2.54
2018-2019,1,MILAN,GENOA,31/10/2018,STADIUM GIUSEPPE MEAZZA,20:30:00,FABRIZIO  PASQUA,GIACOMO  PAGANESSI,DAMIANO  DI IORIO,GIANLUCA  MANGANIELLO,PAOLO SILVIO  MAZZOLENI,LUCA MONDIN,2,1,H,GENNARO GATTUSO,IVAN JURIC,4-4-2,3-5-2,93'33,52'15,0.56,31'55 (61%),15'32 (49%),16'23 (51%),20'20 (39%),9'26 (46%),10'54 (54%),4'58,7'24,2'39,5'00,3'58,7'56,3'35,2'58,4'45,3'20,2'58,2'44,19,7,10(2),2(0),1,0,4,1,9,5,2,8,11,4,0,0,1,0,7,2,11,17,464,309,0.9,0.82,31,21,197,93,236,195,31,26,14,15,0 (0),0 (0),107.802,29.316,70.837,7.649,108.66,27.889,72.693,8.078,6.6,6.7,17 (32%),10 (19%),26 (49%),23 (53%),4 (10%),16 (37%),0/0,1/2,2/2,1/1,0/2,1/2,1/1,1/2,2/3,3/4,1/1,0/1,SUSO,8,KRZYSZTOF PIATEK,9,1.44,4.5,7.5
