Name,#,Year,Team,Matchday,Team 1,Team 2,M,GC,OG,S,STP,SF,FYC,SYC,RC
E.VIVIANO,2,2015-2016,SAMPDORIA,1,SAMPDORIA,CARPI,93',2,0,5,0,2,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,2,NAPOLI,SAMPDORIA,95',2,0,5,2,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,3,SAMPDORIA,BOLOGNA,96',0,0,2,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,4,TORINO,SAMPDORIA,93',2,0,6,2,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,5,SAMPDORIA,ROMA,97',1,0,7,0,1,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,6,ATALANTA,SAMPDORIA,96',2,0,5,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,7,SAMPDORIA,INTER,96',1,0,6,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,8,FROSINONE,SAMPDORIA,95',2,0,3,0,1,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,9,SAMPDORIA,HELLAS VERONA,93',1,0,1,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,10,SAMPDORIA,EMPOLI,95',1,0,4,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,11,CHIEVOVERONA,SAMPDORIA,93',1,0,1,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,12,SAMPDORIA,FIORENTINA,95',2,0,5,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,13,UDINESE,SAMPDORIA,95',1,0,4,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,14,MILAN,SAMPDORIA,94',4,0,6,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,15,SAMPDORIA,SASSUOLO,95',3,0,6,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,16,LAZIO,SAMPDORIA,94',1,0,1,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,17,SAMPDORIA,PALERMO,96',0,0,5,0,1,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,18,GENOA,SAMPDORIA,100',2,0,8,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,19,SAMPDORIA,JUVENTUS,97',2,0,5,0,1,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,20,CARPI,SAMPDORIA,96',2,0,5,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,21,SAMPDORIA,NAPOLI,96',4,0,5,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,22,BOLOGNA,SAMPDORIA,96',3,0,2,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,23,SAMPDORIA,TORINO,97',2,0,4,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,24,ROMA,SAMPDORIA,95',2,0,3,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,25,SAMPDORIA,ATALANTA,96',0,0,2,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,26,INTER,SAMPDORIA,93',3,0,0,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,27,SAMPDORIA,FROSINONE,94',0,0,1,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,28,HELLAS VERONA,SAMPDORIA,94',0,0,4,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,29,EMPOLI,SAMPDORIA,94',1,0,5,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,30,SAMPDORIA,CHIEVOVERONA,97',1,0,6,1,1,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,31,FIORENTINA,SAMPDORIA,95',1,0,6,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,32,SAMPDORIA,UDINESE,98',0,0,3,1,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,33,SAMPDORIA,MILAN,97',1,0,2,0,0,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,34,SASSUOLO,SAMPDORIA,96',0,0,10,8,1,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,35,SAMPDORIA,LAZIO,95',1,0,3,0,2,0,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,36,PALERMO,SAMPDORIA,96',2,0,3,0,0,1,0,0
E.VIVIANO,2,2015-2016,SAMPDORIA,37,SAMPDORIA,GENOA,93',3,0,5,0,0,1,0,0
