Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.DIOUSSE,14,2015-2016,EMPOLI,1,EMPOLI,CHIEVOVERONA,75',0,0,1,0,0,0,0,2,1,4,2,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,2,MILAN,EMPOLI,77',0,0,0,0,0,0,0,2,0,2,2,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,3,EMPOLI,NAPOLI,97',0,0,0,0,0,0,1,2,1,6,2,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,4,UDINESE,EMPOLI,47',0,0,0,0,0,0,0,3,0,0,2,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,5,EMPOLI,ATALANTA,51',0,0,0,2,0,0,0,0,0,2,2,1,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,6,FROSINONE,EMPOLI,94',0,0,0,0,0,0,0,1,1,5,6,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,7,EMPOLI,SASSUOLO,63',0,0,0,0,0,0,0,2,3,2,2,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,8,ROMA,EMPOLI,93',0,0,0,0,0,0,0,1,0,2,4,1,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,9,EMPOLI,GENOA,54',0,0,0,0,0,0,0,0,0,4,5,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,10,SAMPDORIA,EMPOLI,43',0,0,0,1,0,0,0,3,0,1,4,0,1,0
A.DIOUSSE,14,2015-2016,EMPOLI,12,EMPOLI,JUVENTUS,36',0,0,0,0,0,0,0,0,1,1,0,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,16,EMPOLI,CARPI,17',0,0,0,0,0,0,1,0,0,1,1,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,26,SASSUOLO,EMPOLI,27',0,0,0,0,0,0,0,1,0,0,1,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,33,LAZIO,EMPOLI,26',0,0,0,0,0,0,0,0,0,0,1,0,0,0
A.DIOUSSE,14,2015-2016,EMPOLI,36,EMPOLI,BOLOGNA,65',0,0,0,0,0,0,0,1,1,5,2,0,0,0
