Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.MORATA,9,2015-2016,JUVENTUS,2,ROMA,JUVENTUS,32',0,0,0,1,1,0,0,0,1,1,0,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,3,JUVENTUS,CHIEVOVERONA,72',0,0,1,1,1,0,0,3,2,0,4,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,4,GENOA,JUVENTUS,22',0,0,1,0,1,0,0,0,0,1,4,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,6,NAPOLI,JUVENTUS,23',0,0,0,1,1,0,0,0,2,0,1,1,0,0
A.MORATA,9,2015-2016,JUVENTUS,7,JUVENTUS,BOLOGNA,77',1,0,3,2,5,1,1,0,1,0,2,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,8,INTER,JUVENTUS,71',0,0,0,0,0,1,0,1,0,0,6,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,9,JUVENTUS,ATALANTA,16',0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,10,SASSUOLO,JUVENTUS,34',0,0,0,0,1,1,1,1,2,0,4,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,11,JUVENTUS,TORINO,80',0,0,0,0,0,0,1,2,1,2,3,1,0,0
A.MORATA,9,2015-2016,JUVENTUS,12,EMPOLI,JUVENTUS,69',0,0,0,0,0,0,0,2,1,0,4,1,0,0
A.MORATA,9,2015-2016,JUVENTUS,13,JUVENTUS,MILAN,12',0,0,0,0,0,0,1,0,1,0,0,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,14,PALERMO,JUVENTUS,28',0,0,0,0,0,1,0,0,1,0,3,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,15,LAZIO,JUVENTUS,12',0,0,0,0,0,0,0,0,2,0,1,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,16,JUVENTUS,FIORENTINA,9',0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,17,CARPI,JUVENTUS,25',0,0,0,0,0,0,0,0,1,0,1,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,18,JUVENTUS,HELLAS VERONA,81',0,0,1,1,2,0,0,3,1,2,1,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,19,SAMPDORIA,JUVENTUS,79',0,0,0,1,1,0,0,0,2,3,3,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,20,UDINESE,JUVENTUS,24',0,0,1,0,1,0,0,0,0,0,1,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,21,JUVENTUS,ROMA,10',0,0,0,0,0,0,0,0,1,0,0,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,22,CHIEVOVERONA,JUVENTUS,92',2,0,3,2,4,0,1,1,3,3,3,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,23,JUVENTUS,GENOA,54',0,0,1,0,0,0,0,2,5,0,4,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,24,FROSINONE,JUVENTUS,93',0,0,2,2,1,1,0,6,2,1,6,1,0,0
A.MORATA,9,2015-2016,JUVENTUS,25,JUVENTUS,NAPOLI,59',0,0,0,0,0,0,0,2,2,1,6,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,26,BOLOGNA,JUVENTUS,93',0,0,0,1,1,0,2,1,5,1,8,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,27,JUVENTUS,INTER,15',1,0,1,0,1,0,0,0,1,0,1,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,28,ATALANTA,JUVENTUS,8',0,0,0,0,0,0,0,1,1,1,0,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,29,JUVENTUS,SASSUOLO,14',0,0,0,0,0,0,0,1,1,1,1,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,30,TORINO,JUVENTUS,64',2,0,3,0,3,0,0,4,2,0,4,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,31,JUVENTUS,EMPOLI,96',0,0,3,1,4,1,0,3,2,1,11,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,32,MILAN,JUVENTUS,69',0,0,0,0,0,1,1,3,5,0,7,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,33,JUVENTUS,PALERMO,26',0,0,0,2,2,1,0,1,1,0,1,1,0,0
A.MORATA,9,2015-2016,JUVENTUS,35,FIORENTINA,JUVENTUS,24',1,0,1,0,1,0,0,0,2,0,1,1,0,0
A.MORATA,9,2015-2016,JUVENTUS,36,JUVENTUS,CARPI,48',0,0,0,2,1,0,0,0,2,0,1,0,0,0
A.MORATA,9,2015-2016,JUVENTUS,38,JUVENTUS,SAMPDORIA,23',0,0,0,0,0,1,1,0,0,1,1,0,0,0
