Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
B.DZEMAILI,31,2015-2016,GENOA,3,FIORENTINA,GENOA,40',0,0,0,1,0,0,0,1,0,0,1,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,4,GENOA,JUVENTUS,59',0,0,0,1,1,0,0,1,4,1,0,1,0,0
B.DZEMAILI,31,2015-2016,GENOA,5,LAZIO,GENOA,49',0,0,0,0,0,0,0,2,1,1,2,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,6,GENOA,MILAN,98',1,0,1,1,1,0,0,4,4,3,4,1,0,0
B.DZEMAILI,31,2015-2016,GENOA,7,UDINESE,GENOA,87',0,0,1,2,0,0,0,2,1,1,3,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,8,GENOA,CHIEVOVERONA,56',0,0,1,0,0,0,0,2,2,2,1,0,1,0
B.DZEMAILI,31,2015-2016,GENOA,11,GENOA,NAPOLI,45',0,0,0,0,0,0,0,1,2,0,3,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,13,GENOA,SASSUOLO,37',0,0,0,0,0,0,0,1,1,0,0,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,18,GENOA,SAMPDORIA,51',0,0,0,0,0,0,0,1,2,2,1,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,19,ATALANTA,GENOA,26',1,0,1,1,2,0,0,1,0,2,0,1,0,0
B.DZEMAILI,31,2015-2016,GENOA,20,GENOA,PALERMO,13',0,0,0,0,0,0,0,0,0,0,1,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,21,HELLAS VERONA,GENOA,60',0,0,0,0,0,0,0,0,4,0,1,1,0,0
B.DZEMAILI,31,2015-2016,GENOA,22,GENOA,FIORENTINA,95',0,0,0,1,0,0,0,2,2,3,1,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,23,JUVENTUS,GENOA,82',0,0,0,1,0,0,1,2,0,4,7,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,24,GENOA,LAZIO,96',0,0,0,0,0,1,0,1,5,8,4,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,25,MILAN,GENOA,78',0,0,0,1,0,0,0,3,1,4,6,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,26,GENOA,UDINESE,95',0,0,0,1,0,0,1,2,3,1,5,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,27,CHIEVOVERONA,GENOA,61',0,0,0,2,0,0,0,1,1,0,1,1,0,0
B.DZEMAILI,31,2015-2016,GENOA,29,GENOA,TORINO,78',0,0,0,0,0,0,0,2,1,2,3,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,30,NAPOLI,GENOA,96',0,0,0,1,1,0,0,0,3,0,5,1,0,0
B.DZEMAILI,31,2015-2016,GENOA,31,GENOA,FROSINONE,78',0,0,0,0,0,1,0,2,1,1,2,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,32,SASSUOLO,GENOA,96',1,0,2,0,1,0,0,1,1,1,3,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,33,CARPI,GENOA,97',0,0,0,1,1,2,0,2,1,3,5,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,34,GENOA,INTER,91',0,0,0,0,0,0,0,0,0,5,1,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,36,GENOA,ROMA,94',0,0,0,0,1,0,2,2,2,2,0,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,37,SAMPDORIA,GENOA,66',0,0,2,0,2,0,0,0,0,1,2,0,0,0
B.DZEMAILI,31,2015-2016,GENOA,38,GENOA,ATALANTA,52',0,0,0,0,0,0,0,0,2,2,3,0,0,0
