Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
C.BOVO,5,2015-2016,TORINO,3,HELLAS VERONA,TORINO,97',0,0,0,0,0,0,0,2,0,2,2,0,0,0
C.BOVO,5,2015-2016,TORINO,4,TORINO,SAMPDORIA,93',0,0,0,0,0,0,0,1,0,1,3,0,0,0
C.BOVO,5,2015-2016,TORINO,5,CHIEVOVERONA,TORINO,94',0,0,0,0,0,0,0,1,1,0,0,1,0,0
C.BOVO,5,2015-2016,TORINO,6,TORINO,PALERMO,96',0,0,0,0,0,0,0,2,0,1,0,1,0,0
C.BOVO,5,2015-2016,TORINO,7,CARPI,TORINO,96',0,0,0,2,1,0,0,1,0,1,2,0,0,0
C.BOVO,5,2015-2016,TORINO,8,TORINO,MILAN,96',0,0,0,0,0,0,0,2,0,1,3,1,0,0
C.BOVO,5,2015-2016,TORINO,9,LAZIO,TORINO,95',0,0,0,0,0,0,0,3,1,1,1,0,0,0
C.BOVO,5,2015-2016,TORINO,10,TORINO,GENOA,96',0,0,0,0,0,0,0,1,0,0,3,1,0,0
C.BOVO,5,2015-2016,TORINO,11,JUVENTUS,TORINO,97',1,0,1,0,1,0,0,0,1,4,4,1,0,0
C.BOVO,5,2015-2016,TORINO,13,ATALANTA,TORINO,97',1,0,1,0,1,0,0,1,1,2,1,0,0,0
C.BOVO,5,2015-2016,TORINO,14,TORINO,BOLOGNA,95',0,0,0,0,0,0,0,0,0,3,2,0,0,0
C.BOVO,5,2015-2016,TORINO,15,TORINO,ROMA,96',0,0,0,0,0,0,0,2,0,3,1,0,0,0
C.BOVO,5,2015-2016,TORINO,16,SASSUOLO,TORINO,13',0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.BOVO,5,2015-2016,TORINO,17,TORINO,UDINESE,71',0,0,0,0,0,0,1,2,0,2,2,1,0,0
C.BOVO,5,2015-2016,TORINO,18,NAPOLI,TORINO,95',0,0,0,0,0,0,0,3,0,0,6,1,0,0
C.BOVO,5,2015-2016,TORINO,31,INTER,TORINO,97',0,0,0,0,0,1,0,0,0,5,1,0,0,0
C.BOVO,5,2015-2016,TORINO,32,TORINO,ATALANTA,94',0,0,1,0,0,0,0,1,0,0,3,0,0,0
C.BOVO,5,2015-2016,TORINO,33,BOLOGNA,TORINO,94',0,0,0,0,0,0,0,1,1,3,1,1,0,0
C.BOVO,5,2015-2016,TORINO,35,TORINO,SASSUOLO,95',0,0,0,1,1,0,1,2,0,2,1,0,0,0
C.BOVO,5,2015-2016,TORINO,36,UDINESE,TORINO,93',0,0,0,2,2,0,0,2,0,1,1,1,0,0
C.BOVO,5,2015-2016,TORINO,37,TORINO,NAPOLI,95',0,0,0,0,0,0,0,2,0,1,2,1,0,0
