Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
E.GOLDANIGA,6,2015-2016,PALERMO,2,UDINESE,PALERMO,29',0,0,0,0,0,0,0,0,1,0,1,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,11,PALERMO,EMPOLI,17',0,0,0,0,0,0,0,0,1,0,0,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,12,PALERMO,CHIEVOVERONA,13',0,0,0,0,0,0,0,0,0,0,0,1,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,13,LAZIO,PALERMO,96',1,0,1,0,1,0,0,0,1,0,2,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,14,PALERMO,JUVENTUS,94',0,0,0,0,0,0,0,1,1,2,1,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,15,ATALANTA,PALERMO,95',0,0,0,1,0,0,0,2,1,4,1,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,16,PALERMO,FROSINONE,94',1,0,1,0,1,0,0,0,3,6,0,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,17,SAMPDORIA,PALERMO,96',0,0,0,1,0,0,0,0,1,0,1,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,18,PALERMO,FIORENTINA,95',0,0,0,1,0,0,0,2,2,2,3,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,19,HELLAS VERONA,PALERMO,94',0,0,2,0,1,0,0,2,1,2,3,1,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,20,GENOA,PALERMO,91',0,0,0,0,0,0,0,1,1,1,2,1,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,21,PALERMO,UDINESE,93',0,0,0,0,0,1,0,1,0,5,0,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,22,CARPI,PALERMO,96',0,0,0,0,0,0,0,3,2,1,0,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,23,PALERMO,MILAN,93',0,0,0,0,0,0,0,1,1,4,0,1,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,24,SASSUOLO,PALERMO,95',0,0,0,0,0,0,0,1,1,4,1,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,25,PALERMO,TORINO,14',0,0,0,0,0,0,0,0,1,0,0,0,0,0
E.GOLDANIGA,6,2015-2016,PALERMO,33,JUVENTUS,PALERMO,74',0,0,0,0,0,0,0,2,0,2,1,1,0,0
