Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
J.KURTIC,27,2015-2016,ATALANTA,1,INTER,ATALANTA,97',0,0,0,0,0,0,0,1,2,1,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,2,ATALANTA,FROSINONE,77',0,0,1,0,1,0,0,1,2,4,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,3,SASSUOLO,ATALANTA,57',0,0,0,1,0,1,0,2,1,0,0,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,4,ATALANTA,HELLAS VERONA,100',0,0,0,3,1,1,1,2,0,2,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,5,EMPOLI,ATALANTA,96',0,0,0,1,0,0,0,3,0,3,2,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,6,ATALANTA,SAMPDORIA,76',0,0,2,2,4,0,2,2,0,0,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,7,FIORENTINA,ATALANTA,7',0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,8,ATALANTA,CARPI,24',0,0,1,0,0,0,0,2,1,0,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,9,JUVENTUS,ATALANTA,95',0,0,0,1,0,0,0,2,1,4,2,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,10,ATALANTA,LAZIO,46',0,0,0,1,0,0,0,1,0,2,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,11,BOLOGNA,ATALANTA,62',0,0,1,0,1,0,0,1,1,0,5,1,0,0
J.KURTIC,27,2015-2016,ATALANTA,14,ROMA,ATALANTA,85',0,0,0,0,0,1,0,1,2,1,2,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,15,ATALANTA,PALERMO,77',0,0,0,1,1,0,0,3,0,1,0,1,0,0
J.KURTIC,27,2015-2016,ATALANTA,16,CHIEVOVERONA,ATALANTA,92',0,0,0,0,0,0,0,4,1,3,1,1,0,1
J.KURTIC,27,2015-2016,ATALANTA,19,ATALANTA,GENOA,85',0,0,0,1,0,0,0,1,2,1,5,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,20,ATALANTA,INTER,83',0,0,0,2,2,0,0,0,1,1,0,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,21,FROSINONE,ATALANTA,97',0,0,0,1,1,1,2,3,2,4,4,1,0,0
J.KURTIC,27,2015-2016,ATALANTA,22,ATALANTA,SASSUOLO,75',0,0,0,0,0,0,1,2,0,1,3,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,24,ATALANTA,EMPOLI,93',0,0,1,0,1,0,6,1,0,2,2,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,25,SAMPDORIA,ATALANTA,96',0,0,0,0,0,0,1,1,0,1,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,26,ATALANTA,FIORENTINA,82',0,0,0,1,0,1,0,1,2,2,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,27,CARPI,ATALANTA,96',1,0,1,0,1,0,1,0,2,4,4,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,28,ATALANTA,JUVENTUS,97',0,0,0,0,0,0,1,3,0,1,3,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,29,LAZIO,ATALANTA,97',0,0,0,0,0,0,2,0,0,1,2,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,30,ATALANTA,BOLOGNA,73',0,0,0,0,0,0,1,0,0,0,1,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,31,ATALANTA,MILAN,98',0,0,0,1,0,0,2,5,2,2,6,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,32,TORINO,ATALANTA,69',0,0,1,1,1,0,0,0,0,1,4,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,33,ATALANTA,ROMA,96',0,0,0,0,0,0,1,2,2,3,5,1,0,0
J.KURTIC,27,2015-2016,ATALANTA,35,ATALANTA,CHIEVOVERONA,97',0,0,0,0,0,0,1,2,2,1,4,1,0,0
J.KURTIC,27,2015-2016,ATALANTA,36,NAPOLI,ATALANTA,93',0,0,0,0,0,0,0,2,3,2,6,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,37,ATALANTA,UDINESE,95',0,0,0,0,0,0,1,0,0,0,2,0,0,0
J.KURTIC,27,2015-2016,ATALANTA,38,GENOA,ATALANTA,20',1,0,1,0,1,0,0,1,0,1,1,0,0,0
