Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
J.MBAKOGU,99,2015-2016,CARPI,3,PALERMO,CARPI,62',0,0,1,0,1,0,0,3,1,0,1,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,4,CARPI,FIORENTINA,23',0,0,0,0,0,0,0,0,0,0,2,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,5,CARPI,NAPOLI,70',0,0,0,0,2,0,0,1,1,0,6,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,13,CARPI,CHIEVOVERONA,98',0,0,1,2,4,0,0,0,1,0,4,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,14,GENOA,CARPI,77',0,0,0,0,0,0,0,1,3,0,4,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,15,CARPI,MILAN,21',0,0,0,0,0,0,0,1,3,1,0,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,17,CARPI,JUVENTUS,28',0,0,1,1,0,1,0,1,0,1,0,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,18,LAZIO,CARPI,79',0,0,0,0,0,0,0,0,3,1,3,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,19,CARPI,UDINESE,92',0,0,1,0,2,0,1,2,1,0,2,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,20,CARPI,SAMPDORIA,76',1,0,3,0,3,1,0,5,2,0,2,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,21,INTER,CARPI,95',0,0,1,0,1,0,1,4,1,0,3,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,22,CARPI,PALERMO,62',0,0,0,1,2,0,0,0,2,0,7,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,23,FIORENTINA,CARPI,97',0,0,0,1,1,0,2,0,1,2,5,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,25,CARPI,ROMA,79',0,0,1,1,0,1,0,0,2,2,2,1,0,0
J.MBAKOGU,99,2015-2016,CARPI,26,TORINO,CARPI,75',0,0,0,1,1,0,0,3,0,0,7,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,27,CARPI,ATALANTA,96',0,0,0,1,1,1,0,4,5,0,4,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,28,BOLOGNA,CARPI,21',0,0,0,0,0,0,0,0,2,0,1,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,30,HELLAS VERONA,CARPI,65',0,0,0,1,1,0,0,2,1,0,5,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,32,CHIEVOVERONA,CARPI,95',0,0,0,1,1,0,1,1,3,1,10,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,33,CARPI,GENOA,97',0,0,1,0,1,2,0,0,5,1,7,1,0,0
J.MBAKOGU,99,2015-2016,CARPI,34,MILAN,CARPI,98',0,0,0,0,0,0,0,1,3,1,4,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,35,CARPI,EMPOLI,85',0,0,1,2,1,0,1,1,1,1,3,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,36,JUVENTUS,CARPI,96',0,0,0,0,0,0,0,3,2,0,4,0,0,0
J.MBAKOGU,99,2015-2016,CARPI,37,CARPI,LAZIO,95',1,0,5,0,4,2,1,3,3,2,5,0,0,0
