Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
J.SALA,26,2015-2016,HELLAS VERONA,1,HELLAS VERONA,ROMA,94',0,0,0,1,0,0,0,1,0,4,2,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,2,GENOA,HELLAS VERONA,85',0,0,0,0,0,0,1,0,1,0,1,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,3,HELLAS VERONA,TORINO,87',0,0,0,0,0,0,1,0,2,1,3,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,4,ATALANTA,HELLAS VERONA,94',0,0,0,0,0,0,1,1,0,3,5,1,0,0
J.SALA,26,2015-2016,HELLAS VERONA,5,INTER,HELLAS VERONA,77',0,0,1,1,2,0,1,2,0,3,4,1,0,0
J.SALA,26,2015-2016,HELLAS VERONA,6,HELLAS VERONA,LAZIO,96',0,0,0,1,0,0,1,2,3,1,5,1,0,0
J.SALA,26,2015-2016,HELLAS VERONA,7,CHIEVOVERONA,HELLAS VERONA,81',0,0,1,0,1,0,2,2,4,3,2,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,8,HELLAS VERONA,UDINESE,95',0,0,1,0,1,0,3,1,1,1,4,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,9,SAMPDORIA,HELLAS VERONA,93',0,0,1,0,0,0,3,3,2,4,1,1,0,0
J.SALA,26,2015-2016,HELLAS VERONA,10,HELLAS VERONA,FIORENTINA,70',0,0,0,0,0,0,0,1,0,2,5,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,11,CARPI,HELLAS VERONA,79',0,0,1,0,0,0,5,3,0,2,2,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,12,HELLAS VERONA,BOLOGNA,97',0,0,0,0,1,0,4,1,2,2,3,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,15,HELLAS VERONA,EMPOLI,28',0,0,0,0,0,0,1,0,0,1,1,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,16,MILAN,HELLAS VERONA,94',0,0,0,0,0,0,2,2,1,3,3,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,17,HELLAS VERONA,SASSUOLO,94',0,0,0,0,0,0,2,2,0,1,0,1,0,0
J.SALA,26,2015-2016,HELLAS VERONA,19,HELLAS VERONA,PALERMO,94',0,0,0,0,0,0,2,0,4,3,1,0,0,0
J.SALA,26,2015-2016,HELLAS VERONA,20,ROMA,HELLAS VERONA,95',0,0,0,0,0,0,3,2,2,1,2,1,0,0
J.SALA,26,2015-2016,HELLAS VERONA,21,HELLAS VERONA,GENOA,95',0,0,0,0,1,0,2,0,2,3,3,0,0,0
J.SALA,22,2015-2016,SAMPDORIA,22,BOLOGNA,SAMPDORIA,96',0,0,0,0,0,0,1,0,0,1,2,0,0,0
J.SALA,22,2015-2016,SAMPDORIA,23,SAMPDORIA,TORINO,25',0,0,0,0,0,0,0,0,0,1,1,0,0,0
J.SALA,22,2015-2016,SAMPDORIA,36,PALERMO,SAMPDORIA,12',0,0,0,0,0,0,0,0,0,0,1,0,0,0
J.SALA,22,2015-2016,SAMPDORIA,37,SAMPDORIA,GENOA,21',0,0,0,0,0,0,0,1,0,1,1,1,0,0
J.SALA,22,2015-2016,SAMPDORIA,38,JUVENTUS,SAMPDORIA,55',0,0,0,0,0,0,0,0,1,1,3,1,0,0
