Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
L.ADRIANO,9,2015-2016,MILAN,1,FIORENTINA,MILAN,96',0,0,0,2,1,0,0,2,2,1,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,2,MILAN,EMPOLI,94',1,0,2,0,2,1,0,3,3,1,1,0,0,0
L.ADRIANO,9,2015-2016,MILAN,3,INTER,MILAN,96',0,0,1,1,3,0,0,1,2,1,3,0,0,0
L.ADRIANO,9,2015-2016,MILAN,4,MILAN,PALERMO,74',0,0,1,1,1,0,0,0,1,1,2,0,0,0
L.ADRIANO,9,2015-2016,MILAN,5,UDINESE,MILAN,15',0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,6,GENOA,MILAN,98',0,0,1,0,1,0,0,1,4,1,0,1,0,0
L.ADRIANO,9,2015-2016,MILAN,7,MILAN,NAPOLI,92',0,0,0,2,2,0,0,3,0,1,5,0,0,0
L.ADRIANO,9,2015-2016,MILAN,8,TORINO,MILAN,57',0,0,0,0,0,0,0,1,0,0,1,0,0,0
L.ADRIANO,9,2015-2016,MILAN,9,MILAN,SASSUOLO,33',1,0,1,0,1,0,0,1,0,0,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,10,MILAN,CHIEVOVERONA,3',0,0,0,1,0,0,0,0,0,0,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,12,MILAN,ATALANTA,32',0,0,0,0,1,0,0,2,1,1,1,0,0,0
L.ADRIANO,9,2015-2016,MILAN,13,JUVENTUS,MILAN,19',0,0,0,0,0,0,0,0,0,1,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,14,MILAN,SAMPDORIA,19',1,0,1,1,2,0,0,2,0,0,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,15,CARPI,MILAN,25',0,0,0,0,0,0,0,3,1,1,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,16,MILAN,HELLAS VERONA,62',0,0,0,2,2,1,0,1,2,0,1,0,0,0
L.ADRIANO,9,2015-2016,MILAN,17,FROSINONE,MILAN,14',0,0,0,0,0,0,0,0,1,0,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,18,MILAN,BOLOGNA,16',0,0,0,0,0,0,0,1,0,0,0,1,0,0
L.ADRIANO,9,2015-2016,MILAN,19,ROMA,MILAN,56',0,0,0,0,0,0,0,3,1,0,2,1,0,0
L.ADRIANO,9,2015-2016,MILAN,29,CHIEVOVERONA,MILAN,34',0,0,0,0,0,0,0,0,1,0,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,30,MILAN,LAZIO,74',0,0,0,2,1,1,0,2,3,1,3,0,0,0
L.ADRIANO,9,2015-2016,MILAN,31,ATALANTA,MILAN,60',1,0,1,0,1,0,0,1,1,2,6,0,0,0
L.ADRIANO,9,2015-2016,MILAN,32,MILAN,JUVENTUS,21',0,0,0,0,0,0,0,0,1,1,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,35,HELLAS VERONA,MILAN,17',0,0,0,0,0,0,0,1,1,0,1,0,0,0
L.ADRIANO,9,2015-2016,MILAN,36,MILAN,FROSINONE,31',0,0,0,0,0,0,1,0,0,0,0,0,0,0
L.ADRIANO,9,2015-2016,MILAN,37,BOLOGNA,MILAN,96',0,0,0,2,3,0,0,2,3,3,9,0,0,0
L.ADRIANO,9,2015-2016,MILAN,38,MILAN,ROMA,48',0,0,0,0,0,0,0,1,0,1,2,1,0,0
