Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,4,ATALANTA,HELLAS VERONA,27',0,0,0,0,0,0,0,0,1,0,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,5,INTER,HELLAS VERONA,95',0,0,0,0,0,0,0,1,0,1,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,6,HELLAS VERONA,LAZIO,35',0,0,0,0,0,0,0,1,0,0,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,7,CHIEVOVERONA,HELLAS VERONA,14',0,0,0,0,0,0,0,0,0,1,1,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,13,HELLAS VERONA,NAPOLI,93',0,0,0,0,0,0,0,0,0,1,3,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,14,FROSINONE,HELLAS VERONA,96',0,0,0,0,0,0,0,3,6,2,2,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,15,HELLAS VERONA,EMPOLI,95',0,0,1,0,1,0,0,1,0,4,3,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,16,MILAN,HELLAS VERONA,15',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,17,HELLAS VERONA,SASSUOLO,94',0,0,1,0,1,0,0,0,1,1,3,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,18,JUVENTUS,HELLAS VERONA,97',0,0,0,1,0,0,1,1,1,2,2,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,20,ROMA,HELLAS VERONA,46',0,0,0,0,0,0,0,1,0,0,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,22,TORINO,HELLAS VERONA,13',0,0,0,0,0,0,0,0,0,0,1,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,26,HELLAS VERONA,CHIEVOVERONA,21',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,27,UDINESE,HELLAS VERONA,94',0,0,0,0,0,0,0,1,0,0,1,1,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,29,FIORENTINA,HELLAS VERONA,96',0,0,0,0,0,0,0,2,1,5,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,31,BOLOGNA,HELLAS VERONA,96',0,0,0,0,0,0,0,0,0,1,2,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,32,NAPOLI,HELLAS VERONA,93',0,0,0,0,0,0,0,1,0,2,2,1,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,33,HELLAS VERONA,FROSINONE,97',1,0,1,0,1,0,0,2,2,2,0,1,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,34,EMPOLI,HELLAS VERONA,93',0,0,0,1,0,0,0,2,2,1,1,1,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,35,HELLAS VERONA,MILAN,97',0,0,0,0,0,0,0,2,0,2,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,36,SASSUOLO,HELLAS VERONA,95',0,0,0,0,0,0,0,2,0,1,1,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,37,HELLAS VERONA,JUVENTUS,94',0,0,0,0,0,0,0,0,1,4,0,0,0,0
M.BIANCHETTI,22,2015-2016,HELLAS VERONA,38,PALERMO,HELLAS VERONA,97',0,0,0,0,0,0,0,2,2,0,1,0,0,0
