Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.D'ALESSANDRO,7,2015-2016,ATALANTA,1,INTER,ATALANTA,31',0,0,0,0,0,0,0,0,1,0,0,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,7,FIORENTINA,ATALANTA,48',0,0,0,0,0,0,1,0,1,1,1,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,8,ATALANTA,CARPI,17',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,9,JUVENTUS,ATALANTA,95',0,0,0,0,0,0,0,0,0,3,4,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,10,ATALANTA,LAZIO,35',0,0,0,0,0,1,0,0,0,0,4,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,11,BOLOGNA,ATALANTA,95',0,0,0,0,0,2,3,1,4,1,1,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,13,ATALANTA,TORINO,14',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,15,ATALANTA,PALERMO,22',0,0,0,0,0,0,1,0,1,0,0,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,17,ATALANTA,NAPOLI,16',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,18,UDINESE,ATALANTA,98',1,0,1,0,1,1,2,1,1,1,6,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,19,ATALANTA,GENOA,96',0,0,0,0,0,0,0,2,3,0,6,1,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,24,ATALANTA,EMPOLI,21',0,0,0,0,0,0,0,2,0,0,0,1,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,26,ATALANTA,FIORENTINA,71',0,0,0,0,0,2,1,1,1,1,3,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,27,CARPI,ATALANTA,96',0,0,1,0,1,1,0,1,4,2,7,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,28,ATALANTA,JUVENTUS,42',0,0,0,1,0,0,1,0,0,0,1,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,29,LAZIO,ATALANTA,97',0,0,1,1,2,0,1,3,2,1,6,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,30,ATALANTA,BOLOGNA,4',0,0,0,0,0,0,1,0,0,0,0,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,31,ATALANTA,MILAN,3',0,0,1,0,1,0,0,0,0,0,1,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,32,TORINO,ATALANTA,49',0,0,0,0,0,0,2,1,1,1,2,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,33,ATALANTA,ROMA,75',1,0,1,0,1,0,1,3,1,0,0,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,36,NAPOLI,ATALANTA,71',0,0,0,0,0,0,1,0,1,0,3,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,37,ATALANTA,UDINESE,80',0,0,0,1,1,0,3,2,1,0,2,0,0,0
M.D'ALESSANDRO,7,2015-2016,ATALANTA,38,GENOA,ATALANTA,74',1,0,1,0,1,0,0,0,2,1,1,1,0,0
