Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.GABBIADINI,23,2015-2016,NAPOLI,1,SASSUOLO,NAPOLI,31',0,0,0,0,1,0,0,0,1,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,3,EMPOLI,NAPOLI,66',0,0,0,2,1,1,0,0,1,0,1,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,4,NAPOLI,LAZIO,28',1,0,1,2,1,0,0,1,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,5,CARPI,NAPOLI,28',0,0,0,2,1,0,0,1,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,6,NAPOLI,JUVENTUS,9',0,0,0,1,0,0,0,1,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,7,MILAN,NAPOLI,10',0,0,0,1,0,0,0,0,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,9,CHIEVOVERONA,NAPOLI,11',0,0,0,0,0,0,0,1,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,11,GENOA,NAPOLI,27',0,0,1,0,1,0,0,0,0,0,1,1,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,12,NAPOLI,UDINESE,12',0,0,0,0,0,0,0,0,0,0,1,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,19,FROSINONE,NAPOLI,25',1,0,1,1,1,0,0,0,1,0,1,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,22,NAPOLI,EMPOLI,18',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,23,LAZIO,NAPOLI,24',0,0,0,0,0,0,0,0,2,1,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,24,NAPOLI,CARPI,13',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,25,JUVENTUS,NAPOLI,3',0,0,0,1,0,0,0,1,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,26,NAPOLI,MILAN,15',0,0,0,0,0,0,0,1,0,0,1,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,27,FIORENTINA,NAPOLI,3',0,0,0,0,0,1,0,1,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,30,NAPOLI,GENOA,20',0,0,1,0,1,1,0,0,0,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,31,UDINESE,NAPOLI,23',0,0,0,0,0,0,0,0,1,0,0,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,32,NAPOLI,HELLAS VERONA,71',1,0,4,0,4,0,0,0,1,0,2,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,33,INTER,NAPOLI,95',0,0,0,0,0,0,0,1,2,0,1,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,34,NAPOLI,BOLOGNA,74',2,0,3,1,3,0,0,0,0,0,5,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,35,ROMA,NAPOLI,3',0,0,0,0,0,0,0,0,0,1,1,0,0,0
M.GABBIADINI,23,2015-2016,NAPOLI,36,NAPOLI,ATALANTA,9',0,0,0,0,1,0,0,0,0,0,1,0,0,0
