Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
MAICON,13,2015-2016,ROMA,4,ROMA,SASSUOLO,64',0,0,0,0,0,1,3,2,1,1,2,1,0,0
MAICON,13,2015-2016,ROMA,6,ROMA,CARPI,93',0,0,2,0,1,1,2,1,2,0,0,1,0,0
MAICON,13,2015-2016,ROMA,10,ROMA,UDINESE,94',1,0,1,0,1,3,3,0,0,2,3,0,0,0
MAICON,13,2015-2016,ROMA,11,INTER,ROMA,96',0,0,1,0,1,0,3,1,1,1,1,0,0,0
MAICON,13,2015-2016,ROMA,13,BOLOGNA,ROMA,64',0,0,0,0,0,0,1,0,3,2,2,0,0,0
MAICON,13,2015-2016,ROMA,14,ROMA,ATALANTA,11',0,0,0,0,0,0,0,1,0,1,0,0,0,1
MAICON,13,2015-2016,ROMA,18,CHIEVOVERONA,ROMA,96',0,0,1,1,2,0,0,0,0,4,1,0,0,0
MAICON,13,2015-2016,ROMA,22,ROMA,FROSINONE,21',0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAICON,13,2015-2016,ROMA,23,SASSUOLO,ROMA,82',0,0,0,1,1,0,1,0,1,6,3,0,0,0
MAICON,13,2015-2016,ROMA,24,ROMA,SAMPDORIA,67',0,0,0,0,0,1,0,2,0,0,7,0,0,0
MAICON,13,2015-2016,ROMA,26,ROMA,PALERMO,78',0,0,0,1,1,1,4,2,1,3,3,0,0,0
MAICON,13,2015-2016,ROMA,27,EMPOLI,ROMA,75',0,0,0,1,0,0,0,0,0,1,1,0,0,0
MAICON,13,2015-2016,ROMA,34,ROMA,TORINO,97',0,0,1,0,1,0,1,2,4,2,3,0,0,0
MAICON,13,2015-2016,ROMA,35,ROMA,NAPOLI,48',0,0,0,0,0,0,1,0,2,3,1,0,0,0
MAICON,13,2015-2016,ROMA,36,GENOA,ROMA,66',0,0,0,0,0,0,1,2,0,1,6,0,0,0
