Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
N.SANSONE,17,2015-2016,SASSUOLO,1,SASSUOLO,NAPOLI,21',1,0,1,0,1,0,0,1,0,0,0,1,0,0
N.SANSONE,17,2015-2016,SASSUOLO,2,BOLOGNA,SASSUOLO,81',0,0,0,1,2,0,1,1,2,1,1,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,3,SASSUOLO,ATALANTA,63',0,0,1,0,1,0,0,1,1,0,0,1,0,0
N.SANSONE,17,2015-2016,SASSUOLO,4,ROMA,SASSUOLO,32',0,0,0,0,0,0,0,3,1,1,0,1,0,0
N.SANSONE,17,2015-2016,SASSUOLO,5,PALERMO,SASSUOLO,97',0,0,0,0,0,1,0,0,3,0,2,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,6,SASSUOLO,CHIEVOVERONA,22',0,0,1,0,1,0,0,0,0,0,1,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,7,EMPOLI,SASSUOLO,34',0,0,0,1,1,0,1,0,0,0,3,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,8,SASSUOLO,LAZIO,95',0,0,1,1,1,0,2,1,5,1,3,1,0,0
N.SANSONE,17,2015-2016,SASSUOLO,9,MILAN,SASSUOLO,23',0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,10,SASSUOLO,JUVENTUS,96',1,0,2,1,2,0,0,2,3,0,3,1,0,0
N.SANSONE,17,2015-2016,SASSUOLO,12,SASSUOLO,CARPI,96',1,0,1,0,0,0,0,3,1,1,3,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,13,GENOA,SASSUOLO,80',0,0,0,0,0,0,0,0,4,0,3,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,14,SASSUOLO,FIORENTINA,89',0,0,0,1,0,0,2,2,4,0,1,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,15,SAMPDORIA,SASSUOLO,95',0,0,1,0,1,0,1,2,3,0,2,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,16,SASSUOLO,TORINO,94',0,0,0,1,5,1,0,1,2,0,3,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,17,HELLAS VERONA,SASSUOLO,94',0,0,0,0,0,3,1,0,3,1,5,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,18,SASSUOLO,FROSINONE,16',0,0,0,2,2,0,0,0,0,1,2,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,19,INTER,SASSUOLO,82',0,0,2,0,2,0,1,1,1,2,9,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,20,NAPOLI,SASSUOLO,94',0,0,1,0,0,0,1,1,0,2,2,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,21,SASSUOLO,BOLOGNA,94',0,0,0,3,2,0,2,0,3,1,3,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,22,ATALANTA,SASSUOLO,21',0,0,0,0,0,0,1,0,0,0,1,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,23,SASSUOLO,ROMA,96',0,0,2,1,1,0,0,0,2,1,3,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,24,SASSUOLO,PALERMO,14',0,0,0,1,1,0,0,0,0,0,2,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,25,CHIEVOVERONA,SASSUOLO,81',1,0,1,1,2,1,0,0,1,1,7,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,26,SASSUOLO,EMPOLI,75',0,0,0,0,1,1,0,1,2,0,4,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,27,LAZIO,SASSUOLO,77',0,0,0,0,0,1,1,0,1,0,4,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,28,SASSUOLO,MILAN,95',1,0,1,2,3,1,0,0,2,2,1,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,29,JUVENTUS,SASSUOLO,95',0,0,2,0,2,2,0,1,1,0,5,1,0,0
N.SANSONE,17,2015-2016,SASSUOLO,30,SASSUOLO,UDINESE,96',0,0,0,1,1,1,0,1,2,1,6,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,31,CARPI,SASSUOLO,96',1,0,1,0,1,2,0,1,2,1,4,1,0,0
N.SANSONE,17,2015-2016,SASSUOLO,32,SASSUOLO,GENOA,96',0,0,1,3,4,1,2,1,2,0,8,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,33,FIORENTINA,SASSUOLO,25',0,0,0,0,0,0,0,1,1,0,0,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,34,SASSUOLO,SAMPDORIA,96',0,0,1,4,5,0,2,1,2,1,3,1,0,0
N.SANSONE,17,2015-2016,SASSUOLO,35,TORINO,SASSUOLO,71',1,0,2,0,2,0,0,1,2,1,4,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,36,SASSUOLO,HELLAS VERONA,95',0,0,0,0,0,0,0,2,3,0,5,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,37,FROSINONE,SASSUOLO,63',0,0,2,0,2,0,1,2,1,1,4,0,0,0
N.SANSONE,17,2015-2016,SASSUOLO,38,SASSUOLO,INTER,93',0,0,0,1,1,0,0,2,1,0,7,0,0,0
