Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
P.EVRA,33,2015-2016,JUVENTUS,1,JUVENTUS,UDINESE,96',0,0,1,0,1,0,5,0,0,0,0,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,2,ROMA,JUVENTUS,77',0,0,0,0,0,0,3,3,0,0,0,0,1,0
P.EVRA,33,2015-2016,JUVENTUS,4,GENOA,JUVENTUS,96',0,0,0,1,1,0,1,1,0,1,0,1,0,0
P.EVRA,33,2015-2016,JUVENTUS,6,NAPOLI,JUVENTUS,96',0,0,0,0,0,0,0,2,1,3,4,1,0,0
P.EVRA,33,2015-2016,JUVENTUS,7,JUVENTUS,BOLOGNA,95',0,0,0,1,0,0,0,0,0,3,2,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,8,INTER,JUVENTUS,93',0,0,0,0,0,0,1,1,1,3,2,1,0,0
P.EVRA,33,2015-2016,JUVENTUS,9,JUVENTUS,ATALANTA,95',0,0,0,0,0,1,1,0,0,4,2,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,11,JUVENTUS,TORINO,97',0,0,0,0,0,0,0,4,0,2,1,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,12,EMPOLI,JUVENTUS,95',1,0,1,0,1,0,1,2,2,3,0,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,13,JUVENTUS,MILAN,28',0,0,0,0,0,0,0,1,0,0,2,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,14,PALERMO,JUVENTUS,94',0,0,0,0,0,0,3,0,0,0,0,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,15,LAZIO,JUVENTUS,24',0,0,0,0,0,0,0,1,1,1,1,1,0,0
P.EVRA,33,2015-2016,JUVENTUS,16,JUVENTUS,FIORENTINA,77',0,0,0,0,0,0,4,1,0,1,3,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,17,CARPI,JUVENTUS,93',0,0,0,0,0,1,2,1,2,0,2,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,19,SAMPDORIA,JUVENTUS,97',0,0,1,0,0,0,1,0,0,1,3,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,21,JUVENTUS,ROMA,94',0,0,2,1,3,0,1,1,0,5,2,1,0,0
P.EVRA,33,2015-2016,JUVENTUS,23,JUVENTUS,GENOA,38',0,0,0,0,0,0,0,0,0,0,3,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,25,JUVENTUS,NAPOLI,94',0,0,0,1,1,0,0,1,1,1,2,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,26,BOLOGNA,JUVENTUS,93',0,0,0,2,2,0,0,0,0,2,1,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,28,ATALANTA,JUVENTUS,97',0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,31,JUVENTUS,EMPOLI,96',0,0,0,0,0,0,0,1,0,2,3,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,32,MILAN,JUVENTUS,10',0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,33,JUVENTUS,PALERMO,95',0,0,0,1,2,0,0,2,2,4,4,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,35,FIORENTINA,JUVENTUS,95',0,0,1,0,1,0,1,1,0,3,2,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,36,JUVENTUS,CARPI,96',0,0,0,0,0,0,0,0,0,1,1,0,0,0
P.EVRA,33,2015-2016,JUVENTUS,38,JUVENTUS,SAMPDORIA,90',1,0,1,0,1,0,1,0,2,2,1,0,0,0
