Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
P.TACHTSIDIS,77,2015-2016,GENOA,1,PALERMO,GENOA,24',0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,4,GENOA,JUVENTUS,29',0,0,0,1,1,0,0,1,1,1,0,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,5,LAZIO,GENOA,46',0,0,2,0,2,0,0,1,0,4,2,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,7,UDINESE,GENOA,10',0,0,0,0,0,0,0,0,0,0,1,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,8,GENOA,CHIEVOVERONA,6',1,0,1,0,1,0,0,0,1,0,0,1,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,10,TORINO,GENOA,7',0,1,0,0,0,0,0,0,0,0,0,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,12,FROSINONE,GENOA,15',0,0,0,0,0,0,0,1,0,1,1,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,16,GENOA,BOLOGNA,97',0,0,0,0,0,1,0,1,0,3,2,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,17,ROMA,GENOA,65',0,0,0,1,0,0,0,0,1,1,4,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,19,ATALANTA,GENOA,96',0,0,0,0,0,0,1,3,1,2,6,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,20,GENOA,PALERMO,1',0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,24,GENOA,LAZIO,25',0,0,1,0,1,0,0,0,1,0,1,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,26,GENOA,UDINESE,26',0,0,0,0,0,0,0,0,1,1,2,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,27,CHIEVOVERONA,GENOA,34',0,0,0,0,0,0,1,0,0,0,0,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,28,GENOA,EMPOLI,83',0,0,1,1,2,1,1,3,0,4,6,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,29,GENOA,TORINO,18',0,0,0,0,0,0,0,1,0,1,0,1,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,30,NAPOLI,GENOA,29',0,0,0,1,1,0,0,2,0,1,2,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,31,GENOA,FROSINONE,13',0,0,0,0,1,0,0,0,0,0,2,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,32,SASSUOLO,GENOA,14',0,0,0,0,0,0,0,1,0,0,1,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,33,CARPI,GENOA,97',0,0,0,1,1,0,1,2,1,4,8,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,34,GENOA,INTER,26',0,0,2,0,2,0,0,0,0,1,1,1,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,36,GENOA,ROMA,61',1,0,1,1,1,0,0,1,1,0,5,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,37,SAMPDORIA,GENOA,39',0,0,1,0,1,1,0,2,1,2,0,0,0,0
P.TACHTSIDIS,77,2015-2016,GENOA,38,GENOA,ATALANTA,42',0,0,0,1,0,1,1,0,0,3,2,0,0,0
