Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
R.AGUIRRE,74,2015-2016,UDINESE,3,LAZIO,UDINESE,15',0,0,0,0,1,0,0,0,0,1,0,0,0,0
R.AGUIRRE,74,2015-2016,UDINESE,4,UDINESE,EMPOLI,27',0,0,0,1,1,0,0,1,0,0,0,0,0,0
R.AGUIRRE,74,2015-2016,UDINESE,9,UDINESE,FROSINONE,16',0,0,0,1,1,1,0,2,1,0,0,0,0,0
R.AGUIRRE,74,2015-2016,UDINESE,10,ROMA,UDINESE,29',0,0,0,1,1,1,0,1,1,1,0,1,0,0
R.AGUIRRE,74,2015-2016,UDINESE,11,UDINESE,SASSUOLO,20',0,0,1,0,1,0,1,1,1,0,1,0,0,0
R.AGUIRRE,74,2015-2016,UDINESE,12,NAPOLI,UDINESE,37',0,0,0,1,0,0,0,1,3,1,2,0,0,0
R.AGUIRRE,74,2015-2016,UDINESE,13,UDINESE,SAMPDORIA,74',0,0,0,0,0,0,1,3,1,0,3,0,0,0
R.AGUIRRE,74,2015-2016,UDINESE,14,CHIEVOVERONA,UDINESE,75',0,0,1,2,1,1,2,0,2,1,1,0,0,0
R.AGUIRRE,74,2015-2016,UDINESE,15,FIORENTINA,UDINESE,61',0,0,0,0,0,0,0,0,2,0,0,0,0,0
R.AGUIRRE,74,2015-2016,UDINESE,16,UDINESE,INTER,14',0,0,1,0,1,0,0,1,0,1,0,0,0,0
