Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
R.PALACIO,8,2015-2016,INTER,1,INTER,ATALANTA,97',0,0,1,0,2,0,1,1,2,0,2,1,0,0
R.PALACIO,8,2015-2016,INTER,2,CARPI,INTER,95',0,0,0,1,1,0,2,2,1,1,2,0,0,0
R.PALACIO,8,2015-2016,INTER,3,INTER,MILAN,23',0,0,0,0,0,0,0,0,0,0,2,0,0,0
R.PALACIO,8,2015-2016,INTER,4,CHIEVOVERONA,INTER,20',0,0,0,0,0,0,1,0,4,0,0,0,0,0
R.PALACIO,8,2015-2016,INTER,6,INTER,FIORENTINA,93',0,0,0,0,0,0,0,2,4,1,0,0,0,0
R.PALACIO,8,2015-2016,INTER,7,SAMPDORIA,INTER,73',0,0,1,1,2,0,2,2,3,1,2,0,0,0
R.PALACIO,8,2015-2016,INTER,8,INTER,JUVENTUS,2',0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.PALACIO,8,2015-2016,INTER,10,BOLOGNA,INTER,8',0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.PALACIO,8,2015-2016,INTER,11,INTER,ROMA,30',0,0,0,0,0,0,1,1,2,1,2,1,0,0
R.PALACIO,8,2015-2016,INTER,12,TORINO,INTER,77',0,0,0,0,0,1,1,1,1,0,4,0,0,0
R.PALACIO,8,2015-2016,INTER,15,INTER,GENOA,92',0,0,0,1,0,2,0,2,4,0,3,0,0,0
R.PALACIO,8,2015-2016,INTER,17,INTER,LAZIO,8',0,0,0,0,0,0,0,0,1,0,0,0,0,0
R.PALACIO,8,2015-2016,INTER,19,INTER,SASSUOLO,32',0,0,1,0,1,0,0,0,1,0,2,0,0,0
R.PALACIO,8,2015-2016,INTER,20,ATALANTA,INTER,11',0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.PALACIO,8,2015-2016,INTER,21,INTER,CARPI,85',1,0,3,0,3,0,1,2,4,1,4,1,0,0
R.PALACIO,8,2015-2016,INTER,23,INTER,CHIEVOVERONA,77',0,0,0,0,0,1,1,1,3,1,4,0,0,0
R.PALACIO,8,2015-2016,INTER,24,HELLAS VERONA,INTER,93',0,0,2,0,2,0,4,0,6,2,2,0,0,0
R.PALACIO,8,2015-2016,INTER,25,FIORENTINA,INTER,84',0,0,0,0,0,1,2,1,5,3,8,1,0,0
R.PALACIO,8,2015-2016,INTER,27,JUVENTUS,INTER,97',0,0,0,0,0,1,0,2,4,1,4,0,0,0
R.PALACIO,8,2015-2016,INTER,28,INTER,PALERMO,79',0,0,1,0,1,1,2,0,1,3,6,0,0,0
R.PALACIO,8,2015-2016,INTER,29,INTER,BOLOGNA,22',0,0,0,0,0,0,1,2,3,0,1,1,0,0
R.PALACIO,8,2015-2016,INTER,31,INTER,TORINO,97',0,0,0,0,0,0,5,0,1,1,7,0,0,0
R.PALACIO,8,2015-2016,INTER,32,FROSINONE,INTER,5',0,0,0,0,0,1,0,0,0,0,1,0,0,0
R.PALACIO,8,2015-2016,INTER,33,INTER,NAPOLI,6',0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.PALACIO,8,2015-2016,INTER,34,GENOA,INTER,91',0,0,0,1,1,1,5,1,5,0,4,0,0,0
R.PALACIO,8,2015-2016,INTER,36,LAZIO,INTER,16',0,0,0,0,0,0,0,0,0,0,3,0,0,0
R.PALACIO,8,2015-2016,INTER,38,SASSUOLO,INTER,82',1,0,2,0,2,0,3,1,2,1,7,0,0,0
