Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
R.VITIELLO,2,2015-2016,PALERMO,1,PALERMO,GENOA,94',0,0,1,0,0,0,0,2,0,4,0,1,0,0
R.VITIELLO,2,2015-2016,PALERMO,2,UDINESE,PALERMO,11',0,0,0,0,0,0,0,0,0,1,0,0,0,0
R.VITIELLO,2,2015-2016,PALERMO,3,PALERMO,CARPI,95',0,1,0,0,0,0,0,2,0,0,0,1,0,0
R.VITIELLO,2,2015-2016,PALERMO,12,PALERMO,CHIEVOVERONA,60',0,0,0,0,0,0,1,0,0,0,2,0,0,0
R.VITIELLO,2,2015-2016,PALERMO,27,PALERMO,BOLOGNA,95',0,0,1,0,1,0,0,2,1,0,0,1,0,0
R.VITIELLO,2,2015-2016,PALERMO,28,INTER,PALERMO,95',0,0,0,0,0,0,0,0,0,2,3,0,0,0
R.VITIELLO,2,2015-2016,PALERMO,32,PALERMO,LAZIO,102',0,0,0,0,0,0,0,0,0,1,0,0,0,0
R.VITIELLO,2,2015-2016,PALERMO,34,PALERMO,ATALANTA,90',0,0,0,0,0,0,0,2,1,3,0,0,0,1
R.VITIELLO,2,2015-2016,PALERMO,36,PALERMO,SAMPDORIA,96',0,0,0,0,0,0,0,1,1,2,0,0,0,0
R.VITIELLO,2,2015-2016,PALERMO,38,PALERMO,HELLAS VERONA,12',0,0,0,0,0,0,0,0,0,0,0,0,0,0
