Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
V.TOROSIDIS,35,2015-2016,ROMA,1,HELLAS VERONA,ROMA,94',0,0,0,0,0,0,0,0,1,1,1,0,0,0
V.TOROSIDIS,35,2015-2016,ROMA,4,ROMA,SASSUOLO,96',0,0,0,0,0,1,0,2,1,1,1,0,0,0
V.TOROSIDIS,35,2015-2016,ROMA,7,PALERMO,ROMA,95',0,0,1,0,0,0,0,0,0,3,4,0,0,0
V.TOROSIDIS,35,2015-2016,ROMA,8,ROMA,EMPOLI,93',0,0,0,0,0,0,0,1,3,2,5,0,0,0
V.TOROSIDIS,35,2015-2016,ROMA,9,FIORENTINA,ROMA,16',0,0,0,0,0,0,0,0,0,0,0,0,0,0
V.TOROSIDIS,35,2015-2016,ROMA,12,ROMA,LAZIO,97',0,0,0,0,0,0,0,4,3,1,1,0,0,0
V.TOROSIDIS,35,2015-2016,ROMA,13,BOLOGNA,ROMA,33',0,0,0,0,0,0,0,1,0,0,0,1,0,0
V.TOROSIDIS,35,2015-2016,ROMA,14,ROMA,ATALANTA,13',0,0,0,0,0,0,0,2,0,0,0,1,0,0
V.TOROSIDIS,35,2015-2016,ROMA,15,TORINO,ROMA,11',0,0,0,0,0,0,0,0,1,0,0,0,0,0
V.TOROSIDIS,35,2015-2016,ROMA,20,ROMA,HELLAS VERONA,74',0,0,0,0,0,0,0,1,0,1,1,0,0,0
V.TOROSIDIS,35,2015-2016,ROMA,21,JUVENTUS,ROMA,1',0,0,0,0,0,0,0,0,1,0,0,0,0,0
