Name,#,Year,Team,Matchday,Team 1,Team 2,M,GC,OG,S,STP,SF,FYC,SYC,RC
E.LAMANNA,23,2016-2017,GENOA,1,GENOA,CAGLIARI,95',1,0,2,0,1,0,0,0
E.LAMANNA,23,2016-2017,GENOA,2,CROTONE,GENOA,95',1,0,2,2,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,18,TORINO,GENOA,95',1,0,4,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,19,GENOA,ROMA,88',1,0,2,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,20,CAGLIARI,GENOA,94',4,0,8,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,21,GENOA,CROTONE,94',2,0,4,0,1,0,0,0
E.LAMANNA,23,2016-2017,GENOA,22,FIORENTINA,GENOA,98',3,0,5,1,1,0,0,0
E.LAMANNA,23,2016-2017,GENOA,23,GENOA,SASSUOLO,94',1,0,4,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,24,NAPOLI,GENOA,94',2,0,9,3,1,0,0,0
E.LAMANNA,23,2016-2017,GENOA,25,PESCARA,GENOA,92',5,0,2,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,26,GENOA,BOLOGNA,97',1,0,3,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,27,EMPOLI,GENOA,94',0,0,2,0,1,0,0,0
E.LAMANNA,23,2016-2017,GENOA,28,GENOA,SAMPDORIA,95',1,0,3,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,29,MILAN,GENOA,96',1,0,5,2,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,32,GENOA,LAZIO,99',2,0,5,0,1,0,0,0
E.LAMANNA,23,2016-2017,GENOA,33,JUVENTUS,GENOA,93',4,0,2,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,34,GENOA,CHIEVOVERONA,98',2,0,0,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,35,GENOA,INTER,95',0,0,5,1,1,0,0,0
E.LAMANNA,23,2016-2017,GENOA,36,PALERMO,GENOA,96',1,0,2,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,37,GENOA,TORINO,96',1,0,0,0,0,0,0,0
E.LAMANNA,23,2016-2017,GENOA,38,ROMA,GENOA,98',3,0,4,0,0,0,0,0
