Name,#,Year,Team,Matchday,Team 1,Team 2,M,GC,OG,S,STP,SF,FYC,SYC,RC
RAFAEL,1,2016-2017,CAGLIARI,3,BOLOGNA,CAGLIARI,40',1,0,5,1,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,4,CAGLIARI,ATALANTA,95',0,0,2,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,6,CAGLIARI,SAMPDORIA,66',1,0,0,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,7,CAGLIARI,CROTONE,95',1,0,7,6,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,18,CAGLIARI,SASSUOLO,98',3,0,1,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,19,MILAN,CAGLIARI,98',1,0,4,1,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,20,CAGLIARI,GENOA,94',1,0,4,0,1,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,21,ROMA,CAGLIARI,95',1,0,7,0,1,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,22,CAGLIARI,BOLOGNA,94',1,0,1,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,23,ATALANTA,CAGLIARI,94',2,0,3,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,24,CAGLIARI,JUVENTUS,95',2,0,2,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,28,FIORENTINA,CAGLIARI,96',1,0,9,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,29,CAGLIARI,LAZIO,96',0,0,4,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,30,PALERMO,CAGLIARI,96',1,0,4,1,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,31,CAGLIARI,TORINO,99',3,0,2,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,32,CAGLIARI,CHIEVOVERONA,94',0,0,2,0,0,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,33,UDINESE,CAGLIARI,94',2,0,4,0,1,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,34,CAGLIARI,PESCARA,96',0,0,10,0,1,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,35,NAPOLI,CAGLIARI,93',3,0,6,0,1,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,36,CAGLIARI,EMPOLI,96',2,0,1,0,1,0,0,0
RAFAEL,1,2016-2017,CAGLIARI,37,SASSUOLO,CAGLIARI,93',6,0,1,0,0,0,0,0
