Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.AQUILANI,20,2016-2017,PESCARA,3,PESCARA,INTER,26',0,0,0,0,0,0,0,0,0,1,3,0,0,0
A.AQUILANI,20,2016-2017,PESCARA,5,PESCARA,TORINO,95',0,0,0,2,0,0,1,1,2,4,3,0,0,0
A.AQUILANI,20,2016-2017,PESCARA,6,GENOA,PESCARA,14',0,0,0,0,0,0,1,0,0,0,0,0,0,0
A.AQUILANI,20,2016-2017,PESCARA,8,PESCARA,SAMPDORIA,96',0,0,0,0,0,2,0,1,2,3,2,1,0,0
A.AQUILANI,20,2016-2017,PESCARA,9,UDINESE,PESCARA,97',1,0,1,0,1,0,0,0,2,0,1,0,0,0
A.AQUILANI,20,2016-2017,PESCARA,10,PESCARA,ATALANTA,96',0,0,0,0,0,0,0,0,1,3,2,0,0,0
A.AQUILANI,20,2016-2017,PESCARA,11,MILAN,PESCARA,57',0,0,0,1,0,0,0,1,0,2,1,0,0,0
A.AQUILANI,20,2016-2017,PESCARA,12,PESCARA,EMPOLI,45',0,0,0,0,0,0,1,0,0,2,2,0,0,0
A.AQUILANI,20,2016-2017,PESCARA,16,CROTONE,PESCARA,58',0,0,0,0,0,0,0,1,2,2,2,0,1,0
A.AQUILANI,21,2016-2017,SASSUOLO,19,SASSUOLO,TORINO,95',0,0,0,0,0,0,0,2,3,3,0,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,20,SASSUOLO,PALERMO,92',0,0,0,1,0,0,0,0,1,2,1,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,21,PESCARA,SASSUOLO,94',0,0,0,1,0,0,0,0,1,3,4,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,22,SASSUOLO,JUVENTUS,97',0,0,0,0,0,0,1,3,0,2,3,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,23,GENOA,SASSUOLO,94',0,0,0,1,0,0,0,1,2,4,2,1,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,24,SASSUOLO,CHIEVOVERONA,94',0,0,0,0,0,0,0,2,0,4,2,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,25,UDINESE,SASSUOLO,97',0,0,0,1,1,0,0,1,1,5,4,1,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,26,SASSUOLO,MILAN,97',0,0,0,1,0,0,2,1,3,3,2,1,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,27,CROTONE,SASSUOLO,29',0,0,0,0,0,0,0,1,0,3,0,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,28,SASSUOLO,BOLOGNA,64',0,0,1,0,1,0,0,1,1,0,5,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,30,SASSUOLO,LAZIO,95',0,0,0,1,1,0,0,3,1,3,3,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,32,SASSUOLO,SAMPDORIA,96',0,0,0,1,0,0,0,2,1,2,3,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,34,EMPOLI,SASSUOLO,95',0,0,0,0,0,0,0,2,0,1,2,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,35,SASSUOLO,FIORENTINA,80',0,0,0,0,0,0,0,1,0,0,1,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,36,INTER,SASSUOLO,9',0,0,0,0,0,0,0,0,0,0,1,0,0,0
A.AQUILANI,21,2016-2017,SASSUOLO,37,SASSUOLO,CAGLIARI,75',0,0,0,0,0,0,0,2,1,2,5,0,0,0
