Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
D.MAIETTA,20,2016-2017,BOLOGNA,1,BOLOGNA,CROTONE,58',0,0,0,0,0,0,0,0,0,3,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,5,BOLOGNA,SAMPDORIA,96',0,0,0,0,0,0,0,1,0,4,1,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,6,INTER,BOLOGNA,96',0,0,0,0,0,0,0,0,0,1,2,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,7,BOLOGNA,GENOA,98',0,0,1,0,1,1,0,1,4,8,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,8,LAZIO,BOLOGNA,97',0,0,0,0,0,0,0,1,1,11,2,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,9,BOLOGNA,SASSUOLO,95',0,0,0,0,0,0,1,0,0,3,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,10,CHIEVOVERONA,BOLOGNA,72',0,0,0,0,0,0,0,1,1,3,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,13,BOLOGNA,PALERMO,97',0,0,0,0,0,0,0,2,0,5,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,14,BOLOGNA,ATALANTA,95',0,0,0,0,0,0,1,3,0,2,3,1,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,15,UDINESE,BOLOGNA,96',0,0,0,0,0,0,0,1,0,5,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,16,BOLOGNA,EMPOLI,96',0,0,0,1,1,0,0,0,0,5,1,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,17,PESCARA,BOLOGNA,36',0,0,0,0,0,0,0,1,0,2,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,18,BOLOGNA,MILAN,98',0,0,0,0,0,0,0,0,0,4,2,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,19,JUVENTUS,BOLOGNA,94',0,0,0,0,0,0,0,0,0,3,5,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,20,CROTONE,BOLOGNA,98',0,0,0,0,0,0,0,1,0,7,0,1,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,21,BOLOGNA,TORINO,95',0,0,0,0,0,0,0,1,0,5,1,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,22,CAGLIARI,BOLOGNA,94',0,0,0,0,0,0,0,2,1,2,0,1,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,23,BOLOGNA,NAPOLI,92',0,0,0,0,0,0,0,1,1,4,2,1,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,24,SAMPDORIA,BOLOGNA,13',0,0,0,0,0,0,0,1,0,0,0,1,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,27,BOLOGNA,LAZIO,95',0,0,0,0,0,0,0,2,2,1,1,1,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,28,SASSUOLO,BOLOGNA,95',0,0,0,0,1,0,0,0,1,2,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,29,BOLOGNA,CHIEVOVERONA,97',0,0,0,0,0,1,0,2,0,5,1,1,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,30,FIORENTINA,BOLOGNA,97',0,0,0,1,1,0,0,2,1,2,1,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,31,BOLOGNA,ROMA,77',0,0,0,0,0,0,0,0,0,1,0,1,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,32,PALERMO,BOLOGNA,95',0,0,0,0,0,0,0,1,1,3,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,33,ATALANTA,BOLOGNA,97',0,0,0,0,0,0,0,0,0,3,2,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,34,BOLOGNA,UDINESE,91',0,0,0,0,0,0,0,1,1,2,0,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,35,EMPOLI,BOLOGNA,95',0,0,0,1,0,0,1,0,4,4,2,0,0,0
D.MAIETTA,20,2016-2017,BOLOGNA,36,BOLOGNA,PESCARA,59',0,0,0,0,0,0,0,0,0,4,2,0,0,0
