Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
D.PRAET,18,2016-2017,SAMPDORIA,2,SAMPDORIA,ATALANTA,35',0,0,1,0,1,0,0,1,2,1,2,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,4,SAMPDORIA,MILAN,70',0,0,0,0,0,0,2,2,0,2,3,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,5,BOLOGNA,SAMPDORIA,96',0,0,1,0,2,0,4,1,1,0,5,1,0,0
D.PRAET,18,2016-2017,SAMPDORIA,6,CAGLIARI,SAMPDORIA,84',0,0,0,0,1,0,1,2,0,5,3,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,7,SAMPDORIA,PALERMO,14',0,0,0,0,0,0,1,1,0,0,0,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,8,PESCARA,SAMPDORIA,10',0,0,1,1,1,0,0,0,0,0,0,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,10,JUVENTUS,SAMPDORIA,96',0,0,0,1,0,1,0,2,1,4,3,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,12,FIORENTINA,SAMPDORIA,49',0,0,1,1,2,0,1,1,3,0,2,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,13,SAMPDORIA,SASSUOLO,24',0,0,0,0,0,1,0,0,0,1,0,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,14,CROTONE,SAMPDORIA,50',0,0,0,0,0,0,0,0,1,1,1,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,15,SAMPDORIA,TORINO,83',0,0,0,0,0,1,1,1,2,1,4,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,16,SAMPDORIA,LAZIO,50',0,0,0,1,1,0,1,1,1,0,4,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,17,CHIEVOVERONA,SAMPDORIA,95',0,0,0,1,0,0,1,0,0,1,3,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,18,SAMPDORIA,UDINESE,20',0,0,0,0,0,0,0,0,0,1,2,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,19,NAPOLI,SAMPDORIA,77',0,0,0,0,0,0,0,1,1,6,3,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,20,SAMPDORIA,EMPOLI,69',0,0,0,1,0,1,1,2,1,3,3,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,21,ATALANTA,SAMPDORIA,52',0,0,1,0,0,0,1,0,1,4,2,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,22,SAMPDORIA,ROMA,62',1,0,1,1,1,1,4,0,1,4,3,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,23,MILAN,SAMPDORIA,95',0,0,1,0,1,0,2,4,1,3,2,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,24,SAMPDORIA,BOLOGNA,99',0,0,0,2,1,0,0,2,0,1,6,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,25,SAMPDORIA,CAGLIARI,57',0,0,0,0,0,0,0,2,2,1,0,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,26,PALERMO,SAMPDORIA,84',0,0,0,0,0,0,1,2,0,2,2,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,27,SAMPDORIA,PESCARA,95',0,0,1,0,0,1,1,0,2,4,4,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,28,GENOA,SAMPDORIA,19',0,0,0,0,0,0,0,0,0,1,1,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,29,SAMPDORIA,JUVENTUS,32',0,0,0,0,0,0,3,0,0,0,2,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,31,SAMPDORIA,FIORENTINA,29',0,0,0,0,0,0,0,1,0,2,2,1,0,0
D.PRAET,18,2016-2017,SAMPDORIA,32,SASSUOLO,SAMPDORIA,48',0,0,0,0,0,0,0,0,1,2,0,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,33,SAMPDORIA,CROTONE,68',0,0,1,0,1,0,0,3,2,2,3,1,0,0
D.PRAET,18,2016-2017,SAMPDORIA,34,TORINO,SAMPDORIA,98',0,0,1,0,1,0,1,1,0,6,4,1,0,0
D.PRAET,18,2016-2017,SAMPDORIA,36,SAMPDORIA,CHIEVOVERONA,35',0,0,0,0,0,0,1,0,1,2,0,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,37,UDINESE,SAMPDORIA,77',0,0,0,0,0,0,1,0,0,1,7,0,0,0
D.PRAET,18,2016-2017,SAMPDORIA,38,SAMPDORIA,NAPOLI,40',0,0,1,0,0,0,0,1,0,0,0,0,0,0
