Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
F.DIMARCO,4,2016-2017,EMPOLI,2,UDINESE,EMPOLI,69',0,0,0,0,0,0,1,0,1,1,2,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,5,EMPOLI,INTER,96',0,0,2,0,2,0,2,1,2,1,5,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,10,NAPOLI,EMPOLI,94',0,0,1,0,1,0,5,1,0,1,4,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,17,EMPOLI,CAGLIARI,76',0,0,1,0,0,1,1,1,0,0,3,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,18,ATALANTA,EMPOLI,98',0,0,0,0,0,1,1,1,0,3,3,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,22,CROTONE,EMPOLI,94',0,0,0,0,0,0,0,1,1,3,4,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,23,EMPOLI,TORINO,3',0,0,0,0,0,0,0,1,0,0,0,1,0,0
F.DIMARCO,4,2016-2017,EMPOLI,24,INTER,EMPOLI,66',0,0,0,1,0,0,0,2,1,2,3,1,0,0
F.DIMARCO,4,2016-2017,EMPOLI,28,CHIEVOVERONA,EMPOLI,35',0,0,1,0,1,0,0,1,0,1,1,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,29,EMPOLI,NAPOLI,8',0,0,0,0,0,0,0,1,0,0,1,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,34,EMPOLI,SASSUOLO,16',0,0,0,0,0,0,2,0,0,0,1,0,0,0
F.DIMARCO,4,2016-2017,EMPOLI,37,EMPOLI,ATALANTA,43',0,0,0,0,0,0,0,1,0,1,0,0,0,0
