Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
F.VIVIANI,6,2016-2017,BOLOGNA,3,BOLOGNA,CAGLIARI,10',0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,12,ROMA,BOLOGNA,94',0,0,0,2,0,0,0,1,1,0,0,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,13,BOLOGNA,PALERMO,77',1,0,2,0,2,1,1,0,3,5,1,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,14,BOLOGNA,ATALANTA,73',0,0,1,0,1,0,1,2,0,4,2,1,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,16,BOLOGNA,EMPOLI,96',0,0,0,2,1,0,1,2,2,3,4,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,17,PESCARA,BOLOGNA,94',0,0,2,0,2,1,1,2,1,3,1,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,18,BOLOGNA,MILAN,15',0,0,0,1,0,0,0,0,0,0,0,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,19,JUVENTUS,BOLOGNA,94',0,0,0,0,0,0,0,1,3,6,8,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,20,CROTONE,BOLOGNA,87',0,0,0,1,0,0,1,0,1,1,2,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,22,CAGLIARI,BOLOGNA,16',0,0,0,0,0,0,0,2,1,0,0,1,0,1
F.VIVIANI,6,2016-2017,BOLOGNA,26,GENOA,BOLOGNA,97',1,0,2,0,2,0,0,0,0,1,5,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,27,BOLOGNA,LAZIO,75',0,0,1,1,1,1,0,0,2,3,5,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,28,SASSUOLO,BOLOGNA,39',0,0,0,1,0,0,0,1,0,0,0,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,30,FIORENTINA,BOLOGNA,57',0,0,0,0,0,0,0,0,0,3,3,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,33,ATALANTA,BOLOGNA,85',0,0,0,1,1,0,1,1,1,3,2,0,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,34,BOLOGNA,UDINESE,76',0,0,0,2,0,0,0,3,1,2,1,1,0,0
F.VIVIANI,6,2016-2017,BOLOGNA,38,BOLOGNA,JUVENTUS,95',0,0,0,3,3,0,1,1,3,3,1,1,0,0
