Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
G.BONAVENTURA,5,2016-2017,MILAN,1,MILAN,TORINO,75',0,0,0,0,0,0,0,1,3,2,4,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,2,NAPOLI,MILAN,95',0,0,0,0,0,0,1,2,3,4,3,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,3,MILAN,UDINESE,100',0,0,1,1,1,0,0,1,2,2,10,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,4,SAMPDORIA,MILAN,98',0,0,0,1,0,1,1,2,0,1,2,1,0,0
G.BONAVENTURA,5,2016-2017,MILAN,5,MILAN,LAZIO,84',0,0,3,2,3,0,1,0,0,0,5,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,6,FIORENTINA,MILAN,80',0,0,1,2,1,0,1,2,1,4,2,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,7,MILAN,SASSUOLO,94',1,0,2,1,2,1,1,2,2,3,4,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,8,CHIEVOVERONA,MILAN,98',0,0,0,0,0,0,2,0,4,1,2,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,9,MILAN,JUVENTUS,99',0,0,0,0,0,0,0,2,3,4,4,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,10,GENOA,MILAN,94',0,0,2,2,4,1,0,0,1,2,8,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,11,MILAN,PESCARA,98',1,0,3,1,4,0,0,0,3,2,2,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,12,PALERMO,MILAN,94',0,0,0,3,2,2,0,0,5,3,5,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,13,MILAN,INTER,89',0,0,0,1,1,1,0,1,3,6,6,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,14,EMPOLI,MILAN,93',0,0,2,0,2,0,3,1,0,6,5,1,0,0
G.BONAVENTURA,5,2016-2017,MILAN,17,MILAN,ATALANTA,89',0,0,0,2,2,0,1,2,8,3,7,1,0,0
G.BONAVENTURA,5,2016-2017,MILAN,19,MILAN,CAGLIARI,66',0,0,1,3,1,0,2,0,1,2,3,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,20,TORINO,MILAN,85',0,0,0,1,0,1,1,2,3,5,2,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,21,MILAN,NAPOLI,97',0,0,0,0,0,2,3,0,0,4,6,0,0,0
G.BONAVENTURA,5,2016-2017,MILAN,22,UDINESE,MILAN,27',1,0,1,0,1,0,0,0,0,0,0,0,0,0
