Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
K.ALI ADNAN,53,2016-2017,UDINESE,1,ROMA,UDINESE,94',0,0,0,0,0,0,1,2,1,1,1,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,5,UDINESE,FIORENTINA,94',0,0,0,1,0,0,2,1,3,1,2,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,6,SASSUOLO,UDINESE,95',0,0,0,0,0,0,1,0,3,1,4,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,7,UDINESE,LAZIO,94',0,0,0,0,0,0,4,0,1,2,3,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,8,JUVENTUS,UDINESE,48',0,0,0,0,0,0,0,0,0,0,2,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,12,GENOA,UDINESE,35',0,0,0,2,0,0,0,0,0,1,0,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,14,CAGLIARI,UDINESE,95',0,0,0,1,0,0,2,2,2,3,5,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,22,UDINESE,MILAN,25',0,0,0,0,0,0,0,0,0,0,2,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,23,CHIEVOVERONA,UDINESE,21',0,0,1,0,1,0,0,0,0,0,1,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,26,LAZIO,UDINESE,28',0,0,1,0,0,0,0,1,0,0,0,1,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,30,TORINO,UDINESE,18',0,0,0,0,0,0,0,1,0,0,0,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,32,NAPOLI,UDINESE,93',0,0,0,0,0,0,1,1,0,3,2,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,35,UDINESE,ATALANTA,97',0,0,0,0,0,0,1,1,1,2,4,0,0,0
K.ALI ADNAN,53,2016-2017,UDINESE,36,CROTONE,UDINESE,95',0,0,0,1,0,0,0,1,1,4,3,1,0,0
