Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
L.INSIGNE,24,2016-2017,NAPOLI,1,PESCARA,NAPOLI,54',0,0,0,2,0,0,0,0,1,0,5,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,2,NAPOLI,MILAN,17',0,0,0,0,0,0,0,0,0,0,1,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,3,PALERMO,NAPOLI,92',0,0,1,0,1,1,1,2,0,3,4,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,4,NAPOLI,BOLOGNA,93',0,0,3,4,6,1,0,1,0,2,8,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,5,GENOA,NAPOLI,25',0,0,1,1,2,0,0,0,0,0,2,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,6,NAPOLI,CHIEVOVERONA,82',0,0,0,2,0,1,0,0,0,1,5,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,7,ATALANTA,NAPOLI,79',0,0,0,1,1,1,0,0,1,2,8,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,8,NAPOLI,ROMA,97',0,0,0,2,1,1,2,0,3,0,3,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,10,NAPOLI,EMPOLI,94',0,0,1,3,0,2,4,0,0,2,6,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,11,JUVENTUS,NAPOLI,63',0,0,0,0,0,2,0,2,1,1,3,1,0,0
L.INSIGNE,24,2016-2017,NAPOLI,12,NAPOLI,LAZIO,68',0,0,3,2,5,0,0,0,0,3,4,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,13,UDINESE,NAPOLI,79',2,0,3,1,4,0,0,0,0,2,3,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,14,NAPOLI,SASSUOLO,88',1,0,2,4,5,0,0,0,2,4,8,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,15,NAPOLI,INTER,60',1,0,2,0,1,1,0,0,0,0,5,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,16,CAGLIARI,NAPOLI,94',0,0,1,2,2,4,1,0,3,0,5,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,17,NAPOLI,TORINO,82',0,0,1,1,2,1,2,1,1,3,5,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,18,FIORENTINA,NAPOLI,99',1,0,3,0,2,0,1,0,0,1,11,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,19,NAPOLI,SAMPDORIA,97',0,0,2,4,2,2,4,1,0,2,13,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,20,NAPOLI,PESCARA,80',0,0,2,3,2,0,0,0,0,1,6,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,21,MILAN,NAPOLI,97',1,0,1,3,4,0,0,0,1,1,4,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,22,NAPOLI,PALERMO,99',0,0,3,1,2,0,2,0,0,1,6,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,23,BOLOGNA,NAPOLI,82',1,0,2,0,2,0,0,0,0,6,7,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,24,NAPOLI,GENOA,94',0,0,2,3,3,0,1,0,0,2,7,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,25,CHIEVOVERONA,NAPOLI,81',1,0,3,1,2,1,1,0,1,3,6,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,26,NAPOLI,ATALANTA,80',0,0,2,1,2,0,0,0,1,3,4,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,27,ROMA,NAPOLI,96',0,0,0,1,0,1,0,1,0,3,10,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,28,NAPOLI,CROTONE,73',2,0,3,0,3,3,2,0,1,0,6,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,29,EMPOLI,NAPOLI,79',2,0,2,1,2,0,2,0,2,0,1,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,30,NAPOLI,JUVENTUS,94',0,0,1,3,2,0,0,0,0,1,7,1,0,0
L.INSIGNE,24,2016-2017,NAPOLI,31,LAZIO,NAPOLI,95',2,0,3,1,3,0,0,0,1,0,8,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,32,NAPOLI,UDINESE,93',0,0,2,1,1,0,2,0,0,0,5,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,33,SASSUOLO,NAPOLI,94',0,0,3,1,3,0,1,1,1,3,4,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,34,INTER,NAPOLI,94',0,0,2,4,6,0,1,0,1,2,6,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,35,NAPOLI,CAGLIARI,80',1,0,2,2,4,0,3,0,0,1,4,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,36,TORINO,NAPOLI,91',1,0,1,1,2,0,0,0,1,2,10,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,37,NAPOLI,FIORENTINA,90',1,0,1,2,1,0,2,1,1,1,7,0,0,0
L.INSIGNE,24,2016-2017,NAPOLI,38,SAMPDORIA,NAPOLI,94',1,0,2,2,3,1,2,1,3,3,5,0,0,0
