Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.LOPEZ,11,2016-2017,TORINO,1,MILAN,TORINO,37',0,0,0,2,1,0,0,1,0,0,1,0,0,0
M.LOPEZ,11,2016-2017,TORINO,3,ATALANTA,TORINO,99',0,0,0,1,1,0,0,2,3,1,7,0,0,0
M.LOPEZ,11,2016-2017,TORINO,9,TORINO,LAZIO,15',0,0,0,0,0,1,0,1,0,0,0,0,0,0
M.LOPEZ,11,2016-2017,TORINO,10,INTER,TORINO,48',0,0,0,0,0,0,0,3,1,0,3,1,0,0
M.LOPEZ,11,2016-2017,TORINO,11,UDINESE,TORINO,28',0,0,0,0,0,0,0,1,0,0,3,0,0,0
M.LOPEZ,11,2016-2017,TORINO,12,TORINO,CAGLIARI,16',0,0,0,0,0,0,0,1,0,1,2,0,0,0
M.LOPEZ,11,2016-2017,TORINO,15,SAMPDORIA,TORINO,15',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.LOPEZ,11,2016-2017,TORINO,17,NAPOLI,TORINO,27',0,0,0,0,0,0,0,0,0,0,2,0,0,0
M.LOPEZ,11,2016-2017,TORINO,25,ROMA,TORINO,14',1,0,2,0,2,0,0,0,0,0,2,0,0,0
M.LOPEZ,11,2016-2017,TORINO,27,TORINO,PALERMO,32',0,0,0,1,1,0,0,1,0,2,0,0,0,0
M.LOPEZ,11,2016-2017,TORINO,28,LAZIO,TORINO,30',1,0,1,0,1,0,0,1,1,0,0,0,0,0
M.LOPEZ,11,2016-2017,TORINO,29,TORINO,INTER,11',0,0,0,0,0,0,0,3,0,0,1,1,0,0
M.LOPEZ,11,2016-2017,TORINO,30,TORINO,UDINESE,23',0,0,1,0,1,0,0,3,0,0,0,0,0,0
M.LOPEZ,11,2016-2017,TORINO,32,TORINO,CROTONE,47',0,0,1,0,1,0,0,0,1,1,4,0,0,0
M.LOPEZ,11,2016-2017,TORINO,34,TORINO,SAMPDORIA,18',0,0,0,1,0,0,0,2,0,0,0,0,0,0
M.LOPEZ,11,2016-2017,TORINO,37,GENOA,TORINO,33',0,0,0,0,0,0,0,1,1,0,3,0,0,0
