Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.OLIVERA,15,2016-2017,FIORENTINA,3,GENOA,FIORENTINA,83',0,0,0,0,0,0,3,1,0,0,1,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,9,CAGLIARI,FIORENTINA,96',0,0,0,0,0,0,0,3,2,2,2,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,10,FIORENTINA,CROTONE,48',0,0,0,0,0,0,1,0,0,0,2,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,16,FIORENTINA,SASSUOLO,97',0,0,0,0,0,0,0,2,0,5,6,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,17,LAZIO,FIORENTINA,97',0,0,0,0,0,1,5,3,2,3,5,1,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,18,FIORENTINA,NAPOLI,99',0,0,0,0,0,0,4,2,0,4,7,1,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,19,PESCARA,FIORENTINA,97',0,0,0,0,0,0,0,1,1,1,2,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,20,FIORENTINA,JUVENTUS,97',0,0,0,0,0,1,3,6,1,0,3,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,21,CHIEVOVERONA,FIORENTINA,50',0,0,0,0,0,0,1,0,1,0,2,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,22,FIORENTINA,GENOA,98',0,0,0,0,0,0,0,2,2,2,4,1,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,23,ROMA,FIORENTINA,63',0,0,0,0,0,0,2,0,0,1,4,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,26,FIORENTINA,TORINO,6',0,0,0,0,0,0,1,1,0,0,1,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,27,ATALANTA,FIORENTINA,13',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,29,CROTONE,FIORENTINA,23',0,0,0,0,0,1,1,0,0,1,2,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,32,FIORENTINA,EMPOLI,12',0,0,0,0,0,0,0,1,1,0,1,1,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,35,SASSUOLO,FIORENTINA,95',0,0,0,0,0,0,3,2,1,3,2,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,36,FIORENTINA,LAZIO,65',0,0,0,0,0,0,1,0,1,1,1,0,0,0
M.OLIVERA,15,2016-2017,FIORENTINA,37,NAPOLI,FIORENTINA,54',0,0,0,0,0,0,0,2,1,2,2,0,0,0
