Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.PJACA,20,2016-2017,JUVENTUS,2,LAZIO,JUVENTUS,5',0,0,1,0,1,0,0,0,1,0,0,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,3,JUVENTUS,SASSUOLO,10',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,4,INTER,JUVENTUS,16',0,0,0,0,0,0,0,0,0,0,1,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,5,JUVENTUS,CAGLIARI,20',0,0,0,1,1,1,0,0,1,0,2,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,7,EMPOLI,JUVENTUS,19',0,0,1,0,1,0,0,0,0,0,1,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,18,CROTONE,JUVENTUS,89',0,0,2,0,1,3,0,4,1,0,0,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,20,FIORENTINA,JUVENTUS,35',0,0,0,0,0,0,0,0,0,0,4,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,21,JUVENTUS,LAZIO,6',0,0,0,2,2,0,0,0,0,0,0,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,22,SASSUOLO,JUVENTUS,16',0,0,0,0,0,0,0,0,0,0,3,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,25,JUVENTUS,PALERMO,94',0,0,0,0,0,0,1,1,0,4,3,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,26,JUVENTUS,EMPOLI,10',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,27,UDINESE,JUVENTUS,24',0,0,0,0,0,0,1,2,0,0,2,1,0,0
M.PJACA,20,2016-2017,JUVENTUS,28,JUVENTUS,MILAN,90',0,0,1,3,3,0,0,0,2,2,4,0,0,0
M.PJACA,20,2016-2017,JUVENTUS,29,SAMPDORIA,JUVENTUS,70',0,0,0,0,1,1,1,0,1,1,0,0,0,0
