Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
R.TOLOI,3,2016-2017,ATALANTA,1,ATALANTA,LAZIO,99',0,0,0,0,0,0,0,3,0,9,1,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,3,ATALANTA,TORINO,99',0,0,0,1,0,0,0,1,0,4,0,1,0,0
R.TOLOI,3,2016-2017,ATALANTA,4,CAGLIARI,ATALANTA,95',0,0,0,1,0,0,1,4,1,1,0,1,0,0
R.TOLOI,3,2016-2017,ATALANTA,5,ATALANTA,PALERMO,97',0,0,0,1,1,0,0,3,1,3,0,1,0,0
R.TOLOI,3,2016-2017,ATALANTA,6,CROTONE,ATALANTA,97',0,0,0,0,0,0,0,0,0,3,1,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,7,ATALANTA,NAPOLI,95',0,0,0,0,0,0,0,2,0,6,4,1,0,0
R.TOLOI,3,2016-2017,ATALANTA,8,FIORENTINA,ATALANTA,94',0,0,0,0,0,0,0,0,1,2,0,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,9,ATALANTA,INTER,47',0,0,1,0,1,0,0,1,0,2,2,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,13,ATALANTA,ROMA,96',0,0,1,0,1,0,0,0,0,1,2,1,0,0
R.TOLOI,3,2016-2017,ATALANTA,15,JUVENTUS,ATALANTA,95',0,0,0,0,0,0,0,1,0,3,4,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,16,ATALANTA,UDINESE,95',0,0,0,2,0,0,0,2,0,1,3,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,17,MILAN,ATALANTA,97',0,0,1,0,1,0,0,4,1,4,3,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,18,ATALANTA,EMPOLI,98',0,0,0,1,1,0,0,1,1,6,4,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,19,CHIEVOVERONA,ATALANTA,92',0,0,0,0,0,0,0,1,1,4,0,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,21,ATALANTA,SAMPDORIA,6',0,0,0,0,0,0,0,0,0,1,0,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,22,TORINO,ATALANTA,95',0,0,1,0,1,0,0,0,1,1,0,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,23,ATALANTA,CAGLIARI,94',0,0,0,0,0,0,0,0,0,4,5,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,24,PALERMO,ATALANTA,93',0,0,0,1,1,0,0,1,0,4,3,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,25,ATALANTA,CROTONE,95',0,0,0,1,1,0,0,0,1,3,3,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,26,NAPOLI,ATALANTA,95',0,0,0,0,0,0,0,1,0,8,1,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,27,ATALANTA,FIORENTINA,95',0,0,1,1,0,0,0,1,0,8,2,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,28,INTER,ATALANTA,90',0,0,1,0,1,0,0,1,1,3,2,1,0,0
R.TOLOI,3,2016-2017,ATALANTA,29,ATALANTA,PESCARA,93',0,0,0,2,1,0,1,3,0,2,2,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,30,GENOA,ATALANTA,92',0,0,0,0,0,1,0,0,0,1,3,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,31,ATALANTA,SASSUOLO,97',0,0,0,0,0,0,0,1,0,4,1,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,32,ROMA,ATALANTA,93',0,0,0,0,0,0,0,2,0,1,1,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,33,ATALANTA,BOLOGNA,65',0,0,0,0,0,0,0,0,0,1,2,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,34,ATALANTA,JUVENTUS,94',0,0,1,0,1,0,0,1,1,3,2,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,35,UDINESE,ATALANTA,97',0,0,0,0,0,0,0,2,1,0,3,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,36,ATALANTA,MILAN,95',0,0,0,0,0,1,0,1,0,5,1,1,0,0
R.TOLOI,3,2016-2017,ATALANTA,37,EMPOLI,ATALANTA,95',0,0,0,1,1,0,0,2,0,7,3,0,0,0
R.TOLOI,3,2016-2017,ATALANTA,38,ATALANTA,CHIEVOVERONA,95',0,0,0,0,0,0,0,1,1,10,3,0,0,0
