Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
S.CRISTOFORO,19,2016-2017,FIORENTINA,4,FIORENTINA,ROMA,14',0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,5,UDINESE,FIORENTINA,22',0,0,0,0,0,0,0,1,0,0,1,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,11,BOLOGNA,FIORENTINA,10',0,0,1,0,1,0,0,0,0,0,0,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,13,EMPOLI,FIORENTINA,18',0,0,0,1,0,0,0,1,0,0,0,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,17,LAZIO,FIORENTINA,49',0,0,0,0,0,0,0,2,2,0,2,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,18,FIORENTINA,NAPOLI,78',0,0,0,0,0,1,0,2,1,2,4,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,19,PESCARA,FIORENTINA,13',0,0,0,0,0,0,1,0,0,1,0,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,20,FIORENTINA,JUVENTUS,20',0,0,1,0,0,0,0,0,3,1,1,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,21,CHIEVOVERONA,FIORENTINA,29',0,0,0,0,0,0,0,0,1,1,1,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,22,FIORENTINA,GENOA,23',0,0,0,1,0,0,0,0,1,0,0,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,23,ROMA,FIORENTINA,12',0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,25,MILAN,FIORENTINA,73',0,0,0,0,0,0,0,1,0,2,0,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,26,FIORENTINA,TORINO,14',0,0,0,0,0,0,1,0,0,1,0,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,30,FIORENTINA,BOLOGNA,97',0,0,0,0,0,0,0,2,2,4,10,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,33,FIORENTINA,INTER,13',0,0,0,0,0,0,0,1,0,0,0,1,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,35,SASSUOLO,FIORENTINA,78',0,0,0,0,0,0,0,1,1,2,3,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,36,FIORENTINA,LAZIO,65',0,0,0,0,0,0,0,3,3,4,2,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,37,NAPOLI,FIORENTINA,55',0,0,0,0,0,0,0,1,0,2,3,0,0,0
S.CRISTOFORO,19,2016-2017,FIORENTINA,38,FIORENTINA,PESCARA,68',0,0,0,0,0,0,0,1,1,3,4,0,0,0
