Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
S.LULIC,19,2016-2017,LAZIO,2,LAZIO,JUVENTUS,62',0,0,0,0,0,0,0,1,2,4,2,0,0,0
S.LULIC,19,2016-2017,LAZIO,3,CHIEVOVERONA,LAZIO,70',0,0,0,0,0,0,0,0,0,2,2,0,0,0
S.LULIC,19,2016-2017,LAZIO,4,LAZIO,PESCARA,96',0,0,0,0,0,1,1,0,2,4,3,0,0,0
S.LULIC,19,2016-2017,LAZIO,5,MILAN,LAZIO,96',0,0,0,2,1,1,4,1,2,2,3,0,0,0
S.LULIC,19,2016-2017,LAZIO,6,LAZIO,EMPOLI,96',1,0,1,0,1,0,2,1,1,5,4,0,0,0
S.LULIC,19,2016-2017,LAZIO,7,UDINESE,LAZIO,86',0,0,1,0,1,2,0,0,2,2,1,0,0,0
S.LULIC,19,2016-2017,LAZIO,8,LAZIO,BOLOGNA,97',0,0,0,0,0,0,2,1,0,0,3,0,0,0
S.LULIC,19,2016-2017,LAZIO,9,TORINO,LAZIO,95',0,0,0,1,0,1,1,1,1,5,4,0,0,0
S.LULIC,19,2016-2017,LAZIO,10,LAZIO,CAGLIARI,82',0,0,0,0,0,1,1,1,0,2,3,0,0,0
S.LULIC,19,2016-2017,LAZIO,11,LAZIO,SASSUOLO,94',1,0,2,0,1,1,0,3,0,2,4,1,0,0
S.LULIC,19,2016-2017,LAZIO,12,NAPOLI,LAZIO,79',0,0,0,0,0,1,0,3,0,4,5,0,0,0
S.LULIC,19,2016-2017,LAZIO,13,LAZIO,GENOA,95',0,0,0,2,0,0,0,1,0,7,3,0,0,0
S.LULIC,19,2016-2017,LAZIO,14,PALERMO,LAZIO,65',0,0,0,0,0,0,0,3,1,1,5,1,0,0
S.LULIC,19,2016-2017,LAZIO,15,LAZIO,ROMA,96',0,0,1,0,0,0,0,3,1,3,2,1,0,0
S.LULIC,19,2016-2017,LAZIO,16,SAMPDORIA,LAZIO,95',0,0,0,0,1,0,0,2,0,9,4,0,0,0
S.LULIC,19,2016-2017,LAZIO,17,LAZIO,FIORENTINA,97',0,0,1,0,1,0,1,1,2,3,7,0,0,0
S.LULIC,19,2016-2017,LAZIO,18,INTER,LAZIO,72',0,0,1,0,1,0,0,3,1,1,8,1,0,0
S.LULIC,19,2016-2017,LAZIO,20,LAZIO,ATALANTA,97',0,0,0,2,2,2,2,0,1,0,4,1,0,0
S.LULIC,19,2016-2017,LAZIO,22,LAZIO,CHIEVOVERONA,95',0,0,1,1,2,0,2,2,0,4,11,1,0,0
S.LULIC,19,2016-2017,LAZIO,23,PESCARA,LAZIO,25',0,0,0,0,0,1,0,0,0,0,4,0,0,0
S.LULIC,19,2016-2017,LAZIO,24,LAZIO,MILAN,29',0,0,0,0,0,0,0,2,4,2,0,0,0,0
S.LULIC,19,2016-2017,LAZIO,25,EMPOLI,LAZIO,94',0,0,0,0,0,0,1,0,1,4,5,0,0,0
S.LULIC,19,2016-2017,LAZIO,26,LAZIO,UDINESE,95',0,0,0,1,0,0,2,4,1,3,5,0,0,0
S.LULIC,19,2016-2017,LAZIO,27,BOLOGNA,LAZIO,95',0,0,0,0,0,1,4,0,0,2,4,0,0,0
S.LULIC,19,2016-2017,LAZIO,28,LAZIO,TORINO,96',0,0,0,0,0,1,5,3,1,1,3,0,0,0
S.LULIC,19,2016-2017,LAZIO,29,CAGLIARI,LAZIO,96',0,0,0,0,0,0,0,3,1,3,5,0,0,0
S.LULIC,19,2016-2017,LAZIO,30,SASSUOLO,LAZIO,59',0,0,0,0,0,1,1,1,0,1,5,1,0,0
S.LULIC,19,2016-2017,LAZIO,33,LAZIO,PALERMO,92',0,0,0,0,0,0,1,0,0,2,3,0,0,0
S.LULIC,19,2016-2017,LAZIO,34,ROMA,LAZIO,97',0,0,0,0,0,1,1,0,1,4,5,0,0,0
S.LULIC,19,2016-2017,LAZIO,35,LAZIO,SAMPDORIA,92',1,0,1,1,2,1,1,3,2,3,8,0,0,0
S.LULIC,19,2016-2017,LAZIO,37,LAZIO,INTER,79',0,0,0,0,0,0,0,3,0,1,7,0,1,0
