Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
SIMY,99,2016-2017,CROTONE,1,BOLOGNA,CROTONE,96',0,0,0,1,2,0,0,4,1,0,5,0,0,0
SIMY,99,2016-2017,CROTONE,2,CROTONE,GENOA,95',0,0,0,2,0,0,0,3,0,0,3,0,0,0
SIMY,99,2016-2017,CROTONE,6,CROTONE,ATALANTA,27',1,0,1,1,1,0,0,5,0,0,0,0,0,0
SIMY,99,2016-2017,CROTONE,7,CAGLIARI,CROTONE,26',0,0,0,1,1,0,0,0,0,0,0,0,0,0
SIMY,99,2016-2017,CROTONE,9,CROTONE,NAPOLI,39',0,0,0,2,1,1,0,2,0,1,2,0,0,0
SIMY,99,2016-2017,CROTONE,10,FIORENTINA,CROTONE,6',0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMY,99,2016-2017,CROTONE,13,CROTONE,TORINO,23',0,0,1,0,1,0,0,0,0,0,2,0,0,0
SIMY,99,2016-2017,CROTONE,15,MILAN,CROTONE,6',0,0,0,0,0,0,0,0,0,1,0,0,0,0
SIMY,99,2016-2017,CROTONE,16,CROTONE,PESCARA,6',0,0,0,0,0,0,0,1,0,0,3,0,0,0
SIMY,99,2016-2017,CROTONE,17,UDINESE,CROTONE,35',0,0,0,0,0,0,0,0,0,0,3,0,0,0
SIMY,99,2016-2017,CROTONE,19,LAZIO,CROTONE,4',0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMY,99,2016-2017,CROTONE,20,CROTONE,BOLOGNA,16',0,0,0,0,0,0,0,0,1,0,1,0,0,0
SIMY,99,2016-2017,CROTONE,23,PALERMO,CROTONE,12',0,0,0,0,0,0,0,2,0,0,1,0,0,0
SIMY,99,2016-2017,CROTONE,25,ATALANTA,CROTONE,22',0,0,0,0,0,0,0,0,0,0,1,0,0,0
SIMY,99,2016-2017,CROTONE,26,CROTONE,CAGLIARI,27',0,0,0,0,0,0,0,1,0,0,2,0,0,0
SIMY,99,2016-2017,CROTONE,27,CROTONE,SASSUOLO,61',0,0,1,0,0,0,0,2,0,2,3,0,0,0
SIMY,99,2016-2017,CROTONE,32,TORINO,CROTONE,17',1,0,1,0,1,0,0,0,1,0,1,0,0,0
SIMY,99,2016-2017,CROTONE,33,SAMPDORIA,CROTONE,20',1,0,1,0,1,0,0,0,2,0,0,0,0,0
SIMY,99,2016-2017,CROTONE,35,PESCARA,CROTONE,64',0,0,0,0,0,0,0,3,1,0,4,0,0,0
SIMY,99,2016-2017,CROTONE,36,CROTONE,UDINESE,5',0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMY,99,2016-2017,CROTONE,37,JUVENTUS,CROTONE,37',0,0,0,0,0,0,0,2,3,1,3,0,0,0
