Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
V.CHIRICHES,21,2016-2017,NAPOLI,2,NAPOLI,MILAN,5',0,0,0,0,0,0,0,0,1,0,0,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,10,NAPOLI,EMPOLI,94',1,0,1,0,1,0,0,0,0,0,0,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,11,JUVENTUS,NAPOLI,97',0,0,0,0,0,0,0,0,0,2,1,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,12,NAPOLI,LAZIO,94',0,0,0,0,0,0,0,0,1,3,2,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,13,UDINESE,NAPOLI,94',0,0,0,0,0,0,0,0,0,2,0,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,14,NAPOLI,SASSUOLO,95',0,0,0,0,0,0,0,0,0,1,0,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,16,CAGLIARI,NAPOLI,94',0,0,0,0,0,1,0,2,0,1,0,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,17,NAPOLI,TORINO,95',1,0,1,0,1,0,0,1,0,2,1,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,18,FIORENTINA,NAPOLI,43',0,0,0,0,0,0,0,0,1,3,0,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,19,NAPOLI,SAMPDORIA,97',0,0,0,0,0,0,1,0,1,1,2,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,28,NAPOLI,CROTONE,91',0,0,0,0,0,1,1,0,0,2,5,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,29,EMPOLI,NAPOLI,96',0,0,0,0,0,0,0,1,2,1,2,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,35,NAPOLI,CAGLIARI,93',0,0,0,1,1,0,0,1,0,7,1,0,0,0
V.CHIRICHES,21,2016-2017,NAPOLI,38,SAMPDORIA,NAPOLI,94',0,0,0,1,0,0,0,0,1,2,0,0,0,0
