Name,#,Year,Team,Matchday,Team 1,Team 2,M,GC,OG,S,STP,SF,FYC,SYC,RC
V.BELEC,1,2017-2018,BENEVENTO,1,SAMPDORIA,BENEVENTO,96',2,0,5,1,0,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,2,BENEVENTO,BOLOGNA,105',1,0,4,1,1,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,3,BENEVENTO,TORINO,96',1,0,5,1,0,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,4,NAPOLI,BENEVENTO,93',6,0,11,1,0,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,5,BENEVENTO,ROMA,92',4,0,5,0,0,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,6,CROTONE,BENEVENTO,96',2,0,3,0,0,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,7,BENEVENTO,INTER,95',2,0,9,0,1,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,17,BENEVENTO,SPAL,98',2,0,3,0,0,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,18,GENOA,BENEVENTO,99',1,0,5,0,1,1,0,0
V.BELEC,1,2017-2018,BENEVENTO,19,BENEVENTO,CHIEVOVERONA,96',0,0,3,0,0,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,20,BENEVENTO,SAMPDORIA,96',2,0,4,0,1,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,21,BOLOGNA,BENEVENTO,98',3,0,3,1,1,0,0,0
V.BELEC,1,2017-2018,BENEVENTO,22,TORINO,BENEVENTO,33',1,0,0,0,0,0,0,1
V.BELEC,72,2017-2018,SAMPDORIA,37,SAMPDORIA,NAPOLI,97',2,0,8,1,0,0,0,0
V.BELEC,72,2017-2018,SAMPDORIA,38,SPAL,SAMPDORIA,98',3,0,3,1,0,0,0,0
