Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.GALABINOV,16,2017-2018,GENOA,1,SASSUOLO,GENOA,83',0,0,2,2,3,0,0,4,4,1,2,0,0,0
A.GALABINOV,16,2017-2018,GENOA,2,GENOA,JUVENTUS,77',1,0,1,2,3,0,0,1,1,0,2,0,0,0
A.GALABINOV,16,2017-2018,GENOA,3,UDINESE,GENOA,64',0,0,1,0,1,0,0,2,0,1,2,0,0,0
A.GALABINOV,16,2017-2018,GENOA,7,GENOA,BOLOGNA,49',0,0,2,0,3,0,0,0,0,0,1,0,0,0
A.GALABINOV,16,2017-2018,GENOA,8,CAGLIARI,GENOA,95',1,0,4,1,5,0,0,4,0,1,8,0,0,0
A.GALABINOV,16,2017-2018,GENOA,9,MILAN,GENOA,55',0,0,0,0,1,0,0,0,0,0,6,0,0,0
A.GALABINOV,16,2017-2018,GENOA,10,GENOA,NAPOLI,63',0,0,0,0,0,2,0,0,1,5,7,0,0,0
A.GALABINOV,16,2017-2018,GENOA,11,SPAL,GENOA,20',0,0,0,0,0,0,0,1,0,0,1,0,0,0
A.GALABINOV,16,2017-2018,GENOA,13,CROTONE,GENOA,32',0,0,0,0,0,0,0,0,0,0,3,0,0,0
A.GALABINOV,16,2017-2018,GENOA,20,GENOA,SASSUOLO,38',1,0,3,0,3,0,0,2,0,2,2,1,0,0
A.GALABINOV,16,2017-2018,GENOA,21,JUVENTUS,GENOA,48',0,0,0,1,0,0,1,2,2,0,0,1,0,0
A.GALABINOV,16,2017-2018,GENOA,22,GENOA,UDINESE,24',0,0,2,0,1,0,0,0,0,0,0,0,0,0
A.GALABINOV,16,2017-2018,GENOA,23,LAZIO,GENOA,95',0,0,0,0,0,1,0,1,0,1,7,0,0,0
A.GALABINOV,16,2017-2018,GENOA,24,CHIEVOVERONA,GENOA,45',0,0,1,1,0,0,0,3,0,0,7,0,0,0
A.GALABINOV,16,2017-2018,GENOA,25,GENOA,INTER,77',0,0,0,1,1,0,0,0,1,0,4,0,0,0
A.GALABINOV,16,2017-2018,GENOA,26,BOLOGNA,GENOA,61',0,0,0,2,0,0,0,0,0,1,2,0,0,0
A.GALABINOV,16,2017-2018,GENOA,28,GENOA,MILAN,75',0,0,2,1,2,0,0,0,0,2,2,0,0,0
A.GALABINOV,16,2017-2018,GENOA,29,NAPOLI,GENOA,94',0,0,0,2,0,0,0,1,2,3,3,0,0,0
A.GALABINOV,16,2017-2018,GENOA,31,SAMPDORIA,GENOA,4',0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.GALABINOV,16,2017-2018,GENOA,32,GENOA,CROTONE,97',0,0,1,1,1,0,0,4,1,1,7,0,0,0
