Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.PALOSCHI,43,2017-2018,SPAL,1,LAZIO,SPAL,63',0,0,0,0,0,0,0,0,1,1,6,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,3,INTER,SPAL,68',0,0,0,2,2,0,0,1,0,0,2,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,4,SPAL,CAGLIARI,65',0,0,1,0,1,0,1,1,1,1,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,5,MILAN,SPAL,63',0,0,0,0,0,0,0,3,0,1,6,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,6,SPAL,NAPOLI,9',0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,7,SPAL,CROTONE,67',1,0,3,0,2,0,0,1,1,0,0,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,8,BOLOGNA,SPAL,59',0,0,1,0,1,0,0,0,1,1,2,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,9,SPAL,SASSUOLO,32',0,0,0,0,0,0,0,0,0,0,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,10,JUVENTUS,SPAL,71',1,0,2,0,2,0,0,0,0,0,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,11,SPAL,GENOA,79',0,0,0,0,0,1,0,4,0,0,2,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,12,ATALANTA,SPAL,96',0,0,0,1,1,1,1,2,1,1,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,13,SPAL,FIORENTINA,96',1,0,1,1,0,0,0,1,2,2,2,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,14,CHIEVOVERONA,SPAL,96',0,0,0,0,0,0,0,5,0,1,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,15,ROMA,SPAL,81',0,0,0,1,1,0,0,3,0,0,3,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,16,SPAL,HELLAS VERONA,95',1,0,1,0,1,1,0,3,4,1,3,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,17,BENEVENTO,SPAL,66',0,0,0,0,0,0,0,1,0,0,3,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,18,SPAL,TORINO,29',0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,19,SAMPDORIA,SPAL,8',0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,20,SPAL,LAZIO,94',0,0,1,0,2,0,0,2,1,0,3,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,22,SPAL,INTER,19',1,0,1,1,2,0,0,0,0,0,0,1,0,0
A.PALOSCHI,43,2017-2018,SPAL,23,CAGLIARI,SPAL,28',0,0,1,0,1,0,0,0,0,0,0,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,24,SPAL,MILAN,38',0,0,0,0,0,0,0,0,0,0,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,25,NAPOLI,SPAL,13',0,0,0,0,0,0,0,0,0,0,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,26,CROTONE,SPAL,89',1,0,1,0,1,1,0,1,1,4,2,1,0,0
A.PALOSCHI,43,2017-2018,SPAL,27,SPAL,BOLOGNA,76',0,0,0,0,0,0,2,0,0,0,0,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,28,SASSUOLO,SPAL,72',0,0,0,0,0,0,0,2,0,2,2,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,29,SPAL,JUVENTUS,82',0,0,0,0,0,0,0,1,1,2,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,30,GENOA,SPAL,73',0,0,0,0,0,0,0,2,0,0,3,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,31,SPAL,ATALANTA,94',0,0,0,0,0,0,0,1,1,0,3,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,32,FIORENTINA,SPAL,37',0,0,0,0,1,0,0,0,0,1,2,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,33,SPAL,CHIEVOVERONA,61',0,0,0,0,0,0,0,2,1,0,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,34,SPAL,ROMA,96',0,0,1,0,1,0,0,0,0,0,1,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,35,HELLAS VERONA,SPAL,25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,36,SPAL,BENEVENTO,92',1,0,1,0,1,0,0,1,1,0,0,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,37,TORINO,SPAL,81',0,0,0,0,0,0,0,0,1,1,2,0,0,0
A.PALOSCHI,43,2017-2018,SPAL,38,SPAL,SAMPDORIA,98',0,0,1,0,1,0,0,0,1,1,3,0,0,0
