Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
A.STOIAN,5,2017-2018,CROTONE,1,CROTONE,MILAN,75',0,0,0,0,0,0,0,0,3,2,1,0,0,0
A.STOIAN,5,2017-2018,CROTONE,2,CROTONE,HELLAS VERONA,68',0,0,0,1,1,1,3,1,1,5,7,1,0,0
A.STOIAN,5,2017-2018,CROTONE,3,CAGLIARI,CROTONE,78',0,0,0,0,0,0,1,0,2,4,7,0,0,0
A.STOIAN,5,2017-2018,CROTONE,4,CROTONE,INTER,98',0,0,0,1,0,1,0,1,0,3,5,0,0,0
A.STOIAN,5,2017-2018,CROTONE,5,ATALANTA,CROTONE,85',0,0,0,0,0,1,0,3,2,1,2,0,0,0
A.STOIAN,5,2017-2018,CROTONE,6,CROTONE,BENEVENTO,72',0,0,1,3,2,2,3,0,2,0,11,0,0,0
A.STOIAN,5,2017-2018,CROTONE,7,SPAL,CROTONE,94',0,0,1,0,1,1,0,1,1,2,3,0,0,0
A.STOIAN,5,2017-2018,CROTONE,8,CROTONE,TORINO,81',0,0,0,0,0,0,0,1,0,2,6,0,0,0
A.STOIAN,5,2017-2018,CROTONE,9,SAMPDORIA,CROTONE,91',0,0,0,1,0,0,1,1,1,0,10,1,0,0
A.STOIAN,5,2017-2018,CROTONE,10,ROMA,CROTONE,14',0,0,0,0,0,0,0,0,0,0,3,0,0,0
A.STOIAN,5,2017-2018,CROTONE,11,CROTONE,FIORENTINA,69',0,0,0,0,0,0,2,0,2,1,4,0,0,0
A.STOIAN,5,2017-2018,CROTONE,12,BOLOGNA,CROTONE,62',0,0,0,0,0,1,4,1,1,1,7,0,0,0
A.STOIAN,5,2017-2018,CROTONE,13,CROTONE,GENOA,74',0,0,2,0,1,0,4,1,2,1,9,1,0,0
A.STOIAN,5,2017-2018,CROTONE,15,CROTONE,UDINESE,34',0,0,0,0,0,0,2,0,0,1,4,0,0,0
A.STOIAN,5,2017-2018,CROTONE,16,SASSUOLO,CROTONE,56',0,0,0,1,0,0,2,0,1,0,10,0,0,0
A.STOIAN,5,2017-2018,CROTONE,17,CROTONE,CHIEVOVERONA,96',0,0,2,1,2,0,3,2,1,1,4,0,0,0
A.STOIAN,5,2017-2018,CROTONE,18,LAZIO,CROTONE,67',0,0,0,0,0,0,1,1,1,0,5,0,0,0
A.STOIAN,5,2017-2018,CROTONE,19,CROTONE,NAPOLI,95',0,0,0,1,1,0,0,0,0,0,5,0,0,0
A.STOIAN,5,2017-2018,CROTONE,20,MILAN,CROTONE,99',0,0,0,0,0,0,2,2,2,0,2,0,0,0
A.STOIAN,5,2017-2018,CROTONE,21,HELLAS VERONA,CROTONE,94',1,0,1,0,1,1,0,1,2,3,7,1,0,0
A.STOIAN,5,2017-2018,CROTONE,22,CROTONE,CAGLIARI,12',0,0,0,0,0,0,0,0,1,0,0,0,0,0
A.STOIAN,5,2017-2018,CROTONE,23,INTER,CROTONE,17',0,0,0,0,0,0,0,0,0,0,2,0,0,0
A.STOIAN,5,2017-2018,CROTONE,28,CROTONE,SAMPDORIA,68',1,0,1,0,1,0,0,1,5,1,4,0,0,0
A.STOIAN,5,2017-2018,CROTONE,29,CROTONE,ROMA,73',0,0,2,2,2,0,0,0,1,1,4,0,0,0
A.STOIAN,5,2017-2018,CROTONE,30,FIORENTINA,CROTONE,64',0,0,0,0,0,1,1,0,5,0,3,1,0,0
A.STOIAN,5,2017-2018,CROTONE,31,CROTONE,BOLOGNA,93',0,0,0,0,0,1,1,0,3,2,3,0,0,0
A.STOIAN,5,2017-2018,CROTONE,32,GENOA,CROTONE,81',0,0,0,0,0,0,0,0,2,4,10,0,0,0
A.STOIAN,5,2017-2018,CROTONE,33,CROTONE,JUVENTUS,78',0,0,0,0,0,0,1,0,2,0,1,0,0,0
A.STOIAN,5,2017-2018,CROTONE,35,CROTONE,SASSUOLO,96',0,0,0,0,0,1,0,2,1,7,4,0,0,0
A.STOIAN,5,2017-2018,CROTONE,36,CHIEVOVERONA,CROTONE,74',0,0,0,0,0,0,1,0,4,4,10,0,0,0
A.STOIAN,5,2017-2018,CROTONE,37,CROTONE,LAZIO,35',0,0,0,0,0,0,0,1,0,0,0,0,0,0
A.STOIAN,5,2017-2018,CROTONE,38,NAPOLI,CROTONE,49',0,0,0,0,0,0,0,0,0,1,2,0,0,0
