Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
ALLAN,5,2017-2018,NAPOLI,1,HELLAS VERONA,NAPOLI,28',0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLAN,5,2017-2018,NAPOLI,2,NAPOLI,ATALANTA,35',0,0,0,0,0,0,0,0,1,0,2,0,0,0
ALLAN,5,2017-2018,NAPOLI,3,BOLOGNA,NAPOLI,95',0,0,1,1,1,0,0,1,1,10,1,0,0,0
ALLAN,5,2017-2018,NAPOLI,4,NAPOLI,BENEVENTO,75',1,0,1,0,1,0,1,2,1,5,3,0,0,0
ALLAN,5,2017-2018,NAPOLI,5,LAZIO,NAPOLI,94',0,0,2,1,3,0,0,2,2,3,5,0,0,0
ALLAN,5,2017-2018,NAPOLI,6,SPAL,NAPOLI,34',0,0,1,0,1,0,0,1,0,0,0,0,0,0
ALLAN,5,2017-2018,NAPOLI,7,NAPOLI,CAGLIARI,80',0,0,0,0,0,0,0,1,1,4,3,0,0,0
ALLAN,5,2017-2018,NAPOLI,8,ROMA,NAPOLI,96',0,0,0,0,0,0,0,2,0,4,5,0,0,0
ALLAN,5,2017-2018,NAPOLI,9,NAPOLI,INTER,76',0,0,0,0,0,1,0,1,1,1,3,0,0,0
ALLAN,5,2017-2018,NAPOLI,10,GENOA,NAPOLI,12',0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALLAN,5,2017-2018,NAPOLI,11,NAPOLI,SASSUOLO,94',1,0,1,0,1,0,0,1,2,7,3,0,0,0
ALLAN,5,2017-2018,NAPOLI,12,CHIEVOVERONA,NAPOLI,23',0,0,0,0,0,0,0,1,0,0,1,0,0,0
ALLAN,5,2017-2018,NAPOLI,13,NAPOLI,MILAN,98',0,0,2,0,2,0,1,0,0,3,2,1,0,0
ALLAN,5,2017-2018,NAPOLI,14,UDINESE,NAPOLI,94',0,0,0,1,0,0,0,1,2,2,8,0,0,0
ALLAN,5,2017-2018,NAPOLI,15,NAPOLI,JUVENTUS,69',0,0,0,1,0,0,0,1,1,6,5,0,0,0
ALLAN,5,2017-2018,NAPOLI,16,NAPOLI,FIORENTINA,76',0,0,0,0,0,3,2,1,1,4,6,0,0,0
ALLAN,5,2017-2018,NAPOLI,17,TORINO,NAPOLI,93',0,0,0,0,0,2,0,0,1,1,8,0,0,0
ALLAN,5,2017-2018,NAPOLI,18,NAPOLI,SAMPDORIA,95',1,0,1,1,2,0,1,2,5,7,7,0,0,0
ALLAN,5,2017-2018,NAPOLI,19,CROTONE,NAPOLI,95',0,0,0,0,0,1,0,0,1,4,2,0,0,0
ALLAN,5,2017-2018,NAPOLI,20,NAPOLI,HELLAS VERONA,96',0,0,3,1,1,1,0,1,2,2,5,0,0,0
ALLAN,5,2017-2018,NAPOLI,21,ATALANTA,NAPOLI,96',0,0,0,0,0,0,0,1,2,8,6,0,0,0
ALLAN,5,2017-2018,NAPOLI,22,NAPOLI,BOLOGNA,96',0,0,1,1,1,0,0,1,2,6,2,0,0,0
ALLAN,5,2017-2018,NAPOLI,23,BENEVENTO,NAPOLI,97',0,0,1,1,1,0,1,1,1,4,4,0,0,0
ALLAN,5,2017-2018,NAPOLI,24,NAPOLI,LAZIO,83',0,0,0,0,0,1,0,1,3,6,11,0,0,0
ALLAN,5,2017-2018,NAPOLI,25,NAPOLI,SPAL,96',1,0,1,0,1,1,0,2,0,4,8,0,0,0
ALLAN,5,2017-2018,NAPOLI,26,CAGLIARI,NAPOLI,93',0,0,0,0,0,1,0,0,1,8,3,0,0,0
ALLAN,5,2017-2018,NAPOLI,27,NAPOLI,ROMA,93',0,0,1,1,0,0,0,1,1,4,6,0,0,0
ALLAN,5,2017-2018,NAPOLI,28,INTER,NAPOLI,90',0,0,0,0,0,0,0,1,0,3,6,1,0,0
ALLAN,5,2017-2018,NAPOLI,29,NAPOLI,GENOA,94',0,0,0,2,1,0,0,1,1,1,7,0,0,0
ALLAN,5,2017-2018,NAPOLI,30,SASSUOLO,NAPOLI,85',0,0,0,1,0,0,0,2,1,1,3,0,0,0
ALLAN,5,2017-2018,NAPOLI,31,NAPOLI,CHIEVOVERONA,70',0,0,0,0,0,0,0,2,1,2,6,0,0,0
ALLAN,5,2017-2018,NAPOLI,32,MILAN,NAPOLI,88',0,0,1,0,0,0,1,1,0,4,3,0,0,0
ALLAN,5,2017-2018,NAPOLI,33,NAPOLI,UDINESE,20',0,0,0,0,0,0,0,0,0,0,2,0,0,0
ALLAN,5,2017-2018,NAPOLI,34,JUVENTUS,NAPOLI,82',0,0,0,1,0,0,1,1,0,6,8,0,0,0
ALLAN,5,2017-2018,NAPOLI,35,FIORENTINA,NAPOLI,98',0,0,0,0,0,0,0,2,4,8,11,0,0,0
ALLAN,5,2017-2018,NAPOLI,36,NAPOLI,TORINO,95',0,0,0,0,0,0,0,1,5,2,8,0,0,0
ALLAN,5,2017-2018,NAPOLI,37,SAMPDORIA,NAPOLI,82',0,0,0,1,0,1,1,0,2,3,4,0,0,0
ALLAN,5,2017-2018,NAPOLI,38,NAPOLI,CROTONE,77',0,0,0,1,1,1,0,0,2,7,4,0,0,0
