Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
C.MAGGIO,11,2017-2018,NAPOLI,2,NAPOLI,ATALANTA,96',0,0,0,0,1,0,0,2,1,2,3,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,5,LAZIO,NAPOLI,94',0,0,0,0,0,0,0,1,0,4,1,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,11,NAPOLI,SASSUOLO,94',0,0,0,0,0,1,4,1,2,3,3,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,12,CHIEVOVERONA,NAPOLI,29',0,0,0,0,0,0,0,0,0,1,0,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,13,NAPOLI,MILAN,29',0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,14,UDINESE,NAPOLI,94',0,0,0,0,0,0,0,0,0,2,0,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,15,NAPOLI,JUVENTUS,18',0,0,1,0,1,0,2,0,1,0,1,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,18,NAPOLI,SAMPDORIA,15',0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,19,CROTONE,NAPOLI,95',0,0,0,0,0,0,1,0,2,3,2,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,21,ATALANTA,NAPOLI,4',0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,24,NAPOLI,LAZIO,7',0,0,0,0,0,0,0,0,0,0,1,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,26,CAGLIARI,NAPOLI,17',0,0,0,0,1,0,1,0,1,2,0,0,0,0
C.MAGGIO,11,2017-2018,NAPOLI,32,MILAN,NAPOLI,94',0,0,0,0,0,0,2,0,3,1,3,0,0,0
