Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
C.THEREAU,77,2017-2018,UDINESE,1,UDINESE,CHIEVOVERONA,94',1,0,1,0,1,0,1,1,0,1,6,0,0,0
C.THEREAU,77,2017-2018,UDINESE,2,SPAL,UDINESE,99',1,0,1,0,1,0,2,2,1,1,4,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,3,HELLAS VERONA,FIORENTINA,76',1,0,1,0,1,0,0,0,1,0,0,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,4,FIORENTINA,BOLOGNA,79',0,0,1,0,1,0,1,0,1,2,4,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,5,JUVENTUS,FIORENTINA,69',0,0,0,1,0,0,0,1,0,1,5,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,6,FIORENTINA,ATALANTA,76',0,0,1,1,2,1,0,1,1,1,3,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,7,CHIEVOVERONA,FIORENTINA,57',0,0,1,0,0,1,2,0,2,0,2,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,8,FIORENTINA,UDINESE,85',2,0,3,0,3,0,0,0,2,0,2,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,9,BENEVENTO,FIORENTINA,95',1,0,2,0,2,1,0,1,1,2,3,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,10,FIORENTINA,TORINO,19',0,0,0,1,1,0,0,0,1,0,0,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,14,LAZIO,FIORENTINA,61',0,0,0,1,1,1,0,0,2,1,5,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,15,FIORENTINA,SASSUOLO,76',0,0,2,1,4,3,0,1,0,3,4,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,16,NAPOLI,FIORENTINA,67',0,0,0,0,0,1,0,0,0,1,5,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,17,FIORENTINA,GENOA,66',0,0,0,1,0,0,0,0,2,2,2,1,0,0
C.THEREAU,77,2017-2018,FIORENTINA,18,CAGLIARI,FIORENTINA,70',0,0,0,2,0,0,1,2,0,2,6,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,19,FIORENTINA,MILAN,94',0,0,1,1,1,0,0,0,1,3,4,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,20,FIORENTINA,INTER,64',0,0,0,2,2,0,0,0,4,3,1,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,22,FIORENTINA,HELLAS VERONA,47',0,0,0,1,0,0,0,1,0,0,1,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,24,FIORENTINA,JUVENTUS,27',0,0,1,0,1,0,0,1,0,0,1,1,0,0
C.THEREAU,77,2017-2018,FIORENTINA,25,ATALANTA,FIORENTINA,9',0,0,0,0,0,0,0,0,0,0,1,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,26,FIORENTINA,CHIEVOVERONA,7',0,0,0,0,0,0,0,0,0,0,1,0,0,0
C.THEREAU,77,2017-2018,FIORENTINA,29,TORINO,FIORENTINA,20',1,0,1,0,1,0,0,0,0,0,1,0,0,0
