Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
CENGIZ UNDER,17,2017-2018,ROMA,3,SAMPDORIA,ROMA,76',0,0,0,2,1,0,2,0,1,1,3,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,9,TORINO,ROMA,30',0,0,2,0,1,0,0,0,1,1,3,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,10,ROMA,CROTONE,65',0,0,0,0,0,0,0,0,0,2,2,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,15,ROMA,SPAL,67',0,0,2,1,2,0,2,0,0,0,3,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,16,CHIEVOVERONA,ROMA,14',0,0,0,0,0,0,0,0,0,0,1,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,17,ROMA,CAGLIARI,11',0,0,0,1,0,0,0,0,0,1,2,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,18,JUVENTUS,ROMA,10',0,0,1,0,1,0,0,0,0,0,0,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,19,ROMA,SASSUOLO,14',0,0,0,0,0,0,1,1,1,0,0,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,20,ROMA,ATALANTA,17',0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,22,ROMA,SAMPDORIA,72',0,0,3,1,4,0,3,0,0,1,2,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,23,HELLAS VERONA,ROMA,70',1,0,1,0,1,1,1,0,2,1,8,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,24,ROMA,BENEVENTO,84',2,0,2,0,2,1,2,0,0,1,3,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,25,UDINESE,ROMA,87',1,0,2,2,3,0,2,0,0,0,10,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,26,ROMA,MILAN,74',0,0,2,0,1,1,0,0,0,3,4,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,27,NAPOLI,ROMA,72',1,0,1,1,1,0,0,1,1,2,5,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,28,ROMA,TORINO,77',0,0,1,1,1,0,2,0,2,0,2,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,29,CROTONE,ROMA,10',0,0,1,0,1,0,0,0,0,0,2,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,32,LAZIO,ROMA,39',0,0,0,1,0,0,1,0,2,1,1,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,33,ROMA,GENOA,78',1,0,2,1,2,0,1,0,0,0,4,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,34,SPAL,ROMA,26',0,0,0,1,0,0,0,0,1,2,1,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,36,CAGLIARI,ROMA,86',1,0,3,0,2,1,0,0,1,1,1,0,0,0
CENGIZ UNDER,17,2017-2018,ROMA,37,ROMA,JUVENTUS,81',0,0,0,0,0,0,1,0,3,2,0,0,0,0
