Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
D.BASTA,8,2017-2018,LAZIO,1,LAZIO,SPAL,68',0,0,0,1,0,0,5,1,0,2,1,0,0,0
D.BASTA,8,2017-2018,LAZIO,2,CHIEVOVERONA,LAZIO,82',0,0,0,1,1,0,4,0,0,0,0,0,0,0
D.BASTA,8,2017-2018,LAZIO,3,LAZIO,MILAN,96',0,0,1,0,1,0,0,0,0,1,5,0,0,0
D.BASTA,8,2017-2018,LAZIO,4,GENOA,LAZIO,68',0,0,0,1,1,0,1,0,0,3,3,0,0,0
D.BASTA,8,2017-2018,LAZIO,5,LAZIO,NAPOLI,94',0,0,0,0,0,0,1,0,0,7,2,0,0,0
D.BASTA,8,2017-2018,LAZIO,12,LAZIO,UDINESE,95',0,0,1,0,1,0,2,0,0,3,4,0,0,0
D.BASTA,8,2017-2018,LAZIO,14,LAZIO,FIORENTINA,20',0,0,0,0,0,0,0,0,1,3,0,0,0,0
D.BASTA,8,2017-2018,LAZIO,16,LAZIO,TORINO,36',0,0,0,1,1,0,1,0,0,1,1,0,0,0
D.BASTA,8,2017-2018,LAZIO,20,SPAL,LAZIO,94',0,0,0,1,1,1,2,2,0,3,4,0,0,0
D.BASTA,8,2017-2018,LAZIO,28,CAGLIARI,LAZIO,100',0,0,0,0,0,0,1,0,1,3,2,0,0,0
D.BASTA,8,2017-2018,LAZIO,37,CROTONE,LAZIO,67',0,0,0,0,0,0,3,1,1,2,1,0,0,0
