Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
D.CATALDI,8,2017-2018,BENEVENTO,1,SAMPDORIA,BENEVENTO,96',0,0,0,1,0,1,0,2,4,3,4,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,2,BENEVENTO,BOLOGNA,105',0,0,1,0,0,0,1,0,1,5,2,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,3,BENEVENTO,TORINO,96',0,0,2,0,2,0,0,2,2,3,7,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,4,NAPOLI,BENEVENTO,37',0,0,0,0,0,0,0,0,0,1,1,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,5,BENEVENTO,ROMA,92',0,0,1,1,2,0,0,1,0,4,1,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,6,CROTONE,BENEVENTO,96',0,0,0,1,0,0,1,2,1,3,3,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,7,BENEVENTO,INTER,95',0,0,0,0,0,0,0,0,0,0,2,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,8,HELLAS VERONA,BENEVENTO,97',0,0,0,1,0,0,0,0,2,4,4,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,9,BENEVENTO,FIORENTINA,84',0,0,1,0,1,0,2,0,2,1,3,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,10,CAGLIARI,BENEVENTO,100',0,0,0,1,1,0,0,0,5,1,3,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,11,BENEVENTO,LAZIO,92',0,0,1,1,2,0,0,1,2,1,1,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,12,JUVENTUS,BENEVENTO,90',0,0,0,1,1,0,0,2,2,3,4,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,13,BENEVENTO,SASSUOLO,97',0,0,0,0,0,1,2,4,1,2,4,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,14,ATALANTA,BENEVENTO,94',0,0,1,0,0,0,1,2,2,2,4,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,15,BENEVENTO,MILAN,96',0,0,0,0,0,1,0,5,0,2,3,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,17,BENEVENTO,SPAL,98',0,0,1,0,1,0,0,0,2,2,5,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,18,GENOA,BENEVENTO,99',0,0,0,0,0,0,1,3,2,1,2,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,22,TORINO,BENEVENTO,94',0,0,0,0,0,1,0,1,1,3,2,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,23,BENEVENTO,NAPOLI,97',0,0,0,0,0,0,0,1,1,1,7,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,26,INTER,BENEVENTO,49',0,0,0,0,0,0,0,1,0,1,1,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,28,FIORENTINA,BENEVENTO,95',0,0,0,0,0,0,2,1,1,7,4,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,29,BENEVENTO,CAGLIARI,34',0,0,0,0,0,0,0,1,1,0,0,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,30,LAZIO,BENEVENTO,95',1,0,1,2,1,0,0,1,0,1,5,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,31,BENEVENTO,JUVENTUS,32',0,0,0,1,0,0,0,0,0,0,1,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,32,SASSUOLO,BENEVENTO,105',0,0,0,0,0,1,1,3,0,3,3,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,34,MILAN,BENEVENTO,97',0,0,0,2,1,0,0,0,0,2,0,0,0,0
D.CATALDI,8,2017-2018,BENEVENTO,35,BENEVENTO,UDINESE,61',0,0,0,0,0,0,0,2,0,0,4,0,1,0
D.CATALDI,8,2017-2018,BENEVENTO,37,BENEVENTO,GENOA,68',0,0,0,1,0,0,0,2,2,1,3,1,0,0
D.CATALDI,8,2017-2018,BENEVENTO,38,CHIEVOVERONA,BENEVENTO,55',0,0,1,0,1,0,0,0,0,0,2,0,0,0
