Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
F.ACERBI,15,2017-2018,SASSUOLO,1,SASSUOLO,GENOA,95',0,0,0,1,0,0,0,4,3,5,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,2,TORINO,SASSUOLO,99',0,0,0,0,0,0,0,1,1,3,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,3,ATALANTA,SASSUOLO,96',0,0,1,0,1,0,0,3,1,5,4,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,4,SASSUOLO,JUVENTUS,93',0,0,0,0,0,0,0,3,1,6,3,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,5,CAGLIARI,SASSUOLO,98',0,0,1,0,0,0,0,1,1,4,0,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,6,SASSUOLO,BOLOGNA,94',0,0,0,0,0,0,1,1,0,3,4,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,7,LAZIO,SASSUOLO,95',0,0,0,0,0,0,0,0,1,5,3,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,8,SASSUOLO,CHIEVOVERONA,93',0,0,0,1,1,0,0,0,1,7,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,9,SPAL,SASSUOLO,96',0,0,0,0,0,0,0,1,0,3,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,10,SASSUOLO,UDINESE,99',0,0,0,0,0,0,0,0,0,3,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,11,NAPOLI,SASSUOLO,94',0,0,0,0,0,0,0,1,0,0,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,12,SASSUOLO,MILAN,96',0,0,0,0,0,0,1,1,1,4,0,1,0,0
F.ACERBI,15,2017-2018,SASSUOLO,13,BENEVENTO,SASSUOLO,97',0,0,0,1,0,0,0,0,1,2,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,14,SASSUOLO,HELLAS VERONA,95',0,0,0,0,0,0,0,1,2,8,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,15,FIORENTINA,SASSUOLO,95',0,0,0,1,0,0,1,1,0,3,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,16,SASSUOLO,CROTONE,95',0,1,0,1,1,0,0,1,1,2,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,17,SAMPDORIA,SASSUOLO,97',0,0,0,0,0,0,0,0,0,2,0,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,18,SASSUOLO,INTER,97',0,0,0,0,0,0,0,0,1,6,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,19,ROMA,SASSUOLO,95',0,0,0,0,0,0,0,1,0,4,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,20,GENOA,SASSUOLO,96',0,0,0,0,0,0,1,2,0,2,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,21,SASSUOLO,TORINO,95',0,0,0,0,0,0,0,1,0,2,2,1,0,0
F.ACERBI,15,2017-2018,SASSUOLO,22,SASSUOLO,ATALANTA,99',0,0,0,0,0,0,0,2,1,7,3,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,23,JUVENTUS,SASSUOLO,91',0,0,0,0,0,0,0,0,0,4,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,24,SASSUOLO,CAGLIARI,95',0,0,0,0,0,0,0,0,0,4,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,25,BOLOGNA,SASSUOLO,96',0,0,0,0,0,0,1,3,1,5,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,26,SASSUOLO,LAZIO,97',0,0,0,0,0,0,0,0,1,3,0,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,27,CHIEVOVERONA,SASSUOLO,99',0,0,0,0,0,0,0,0,1,6,5,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,28,SASSUOLO,SPAL,95',0,0,0,2,1,0,0,1,0,6,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,29,UDINESE,SASSUOLO,98',0,0,0,0,0,0,0,2,1,3,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,30,SASSUOLO,NAPOLI,97',0,0,0,0,0,0,0,0,0,0,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,31,MILAN,SASSUOLO,98',0,0,0,0,0,0,0,0,2,5,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,32,SASSUOLO,BENEVENTO,105',0,0,0,1,0,0,0,0,4,8,0,1,0,0
F.ACERBI,15,2017-2018,SASSUOLO,33,HELLAS VERONA,SASSUOLO,96',0,0,0,1,1,0,0,1,2,1,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,34,SASSUOLO,FIORENTINA,99',0,0,0,0,0,0,0,0,1,10,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,35,CROTONE,SASSUOLO,96',0,0,1,0,0,0,0,1,2,1,1,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,36,SASSUOLO,SAMPDORIA,95',0,0,0,0,0,0,0,0,1,6,2,0,0,0
F.ACERBI,15,2017-2018,SASSUOLO,37,INTER,SASSUOLO,97',0,0,0,0,0,0,0,0,0,4,0,1,0,0
F.ACERBI,15,2017-2018,SASSUOLO,38,SASSUOLO,ROMA,96',0,0,0,0,0,0,0,0,1,3,1,0,0,0
