Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
G.LETIZIA,3,2017-2018,BENEVENTO,1,SAMPDORIA,BENEVENTO,72',0,0,0,1,0,0,0,0,1,5,5,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,3,BENEVENTO,TORINO,96',0,0,0,0,0,0,2,2,1,3,6,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,4,NAPOLI,BENEVENTO,60',0,0,0,0,0,0,2,2,1,4,3,1,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,5,BENEVENTO,ROMA,92',0,0,0,0,0,0,3,1,1,5,5,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,6,CROTONE,BENEVENTO,31',0,0,1,0,1,0,3,0,0,0,2,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,7,BENEVENTO,INTER,95',0,0,0,0,0,0,0,2,1,3,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,8,HELLAS VERONA,BENEVENTO,97',0,0,0,1,1,1,2,0,2,5,2,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,9,BENEVENTO,FIORENTINA,95',0,0,0,1,0,0,0,2,0,2,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,10,CAGLIARI,BENEVENTO,84',0,0,0,0,0,0,3,0,2,2,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,11,BENEVENTO,LAZIO,13',0,0,0,0,0,1,0,0,0,1,0,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,13,BENEVENTO,SASSUOLO,68',0,0,0,0,0,0,2,3,1,3,4,0,1,0
G.LETIZIA,3,2017-2018,BENEVENTO,15,BENEVENTO,MILAN,96',0,0,2,0,1,0,6,1,3,5,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,16,UDINESE,BENEVENTO,94',0,0,1,1,2,0,3,0,1,2,5,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,17,BENEVENTO,SPAL,98',0,0,0,1,1,0,1,2,2,2,4,1,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,18,GENOA,BENEVENTO,32',0,0,0,0,0,0,1,0,1,3,1,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,21,BOLOGNA,BENEVENTO,38',0,0,0,0,0,0,0,0,0,4,2,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,22,TORINO,BENEVENTO,94',0,0,0,0,0,0,3,2,1,5,4,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,23,BENEVENTO,NAPOLI,97',0,0,0,1,0,0,2,0,1,6,5,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,24,ROMA,BENEVENTO,74',0,0,0,0,0,0,0,1,0,3,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,25,BENEVENTO,CROTONE,45',0,0,1,0,1,1,1,1,1,3,4,1,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,26,INTER,BENEVENTO,94',0,0,0,1,0,0,2,1,2,5,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,27,BENEVENTO,HELLAS VERONA,94',1,0,1,0,1,0,6,1,1,3,1,1,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,29,BENEVENTO,CAGLIARI,99',0,0,0,0,0,0,3,1,2,2,1,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,30,LAZIO,BENEVENTO,68',0,0,0,0,0,0,0,1,2,1,2,1,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,32,SASSUOLO,BENEVENTO,95',0,0,0,1,0,0,0,1,0,4,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,34,MILAN,BENEVENTO,97',0,0,0,0,0,0,0,0,2,1,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,36,SPAL,BENEVENTO,60',0,0,0,0,0,0,4,2,2,2,3,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,37,BENEVENTO,GENOA,94',0,0,0,1,1,0,4,2,0,1,1,0,0,0
G.LETIZIA,3,2017-2018,BENEVENTO,38,CHIEVOVERONA,BENEVENTO,96',0,0,1,1,0,0,3,0,1,6,2,0,0,0
