Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
I.MEDEIROS,45,2017-2018,GENOA,23,LAZIO,GENOA,30',0,0,0,0,0,0,1,0,0,2,2,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,26,BOLOGNA,GENOA,34',0,0,0,1,0,0,0,0,0,2,1,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,27,GENOA,CAGLIARI,100',1,0,1,0,1,0,0,1,1,0,6,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,30,GENOA,SPAL,13',0,0,0,1,1,0,0,0,0,0,2,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,32,GENOA,CROTONE,81',0,0,4,2,3,1,0,0,2,0,2,1,0,0
I.MEDEIROS,45,2017-2018,GENOA,33,ROMA,GENOA,40',0,0,2,0,2,0,1,0,0,0,3,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,34,GENOA,HELLAS VERONA,82',1,0,2,0,2,1,0,0,2,3,7,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,35,ATALANTA,GENOA,54',0,0,1,0,1,0,0,1,0,1,5,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,36,GENOA,FIORENTINA,96',0,0,1,0,1,0,2,1,3,2,2,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,37,BENEVENTO,GENOA,58',0,0,0,1,0,1,0,0,0,0,5,0,0,0
I.MEDEIROS,45,2017-2018,GENOA,38,GENOA,TORINO,96',0,0,0,1,1,1,2,0,1,1,3,0,0,0
