Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
JUAN JESUS,5,2017-2018,ROMA,1,ATALANTA,ROMA,95',0,0,0,0,0,0,0,3,0,8,2,0,0,0
JUAN JESUS,5,2017-2018,ROMA,2,ROMA,INTER,94',0,0,0,0,0,0,0,2,1,6,3,1,0,0
JUAN JESUS,5,2017-2018,ROMA,5,BENEVENTO,ROMA,92',0,0,0,0,0,0,0,0,0,5,0,0,0,0
JUAN JESUS,5,2017-2018,ROMA,7,MILAN,ROMA,7',0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUAN JESUS,5,2017-2018,ROMA,8,ROMA,NAPOLI,96',0,0,0,0,0,0,0,2,0,2,0,0,0,0
JUAN JESUS,5,2017-2018,ROMA,9,TORINO,ROMA,93',0,0,0,0,0,0,0,1,2,5,2,0,0,0
JUAN JESUS,5,2017-2018,ROMA,11,ROMA,BOLOGNA,94',0,0,0,0,0,0,0,1,0,3,2,0,0,0
JUAN JESUS,5,2017-2018,ROMA,13,ROMA,LAZIO,11',0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUAN JESUS,5,2017-2018,ROMA,14,GENOA,ROMA,97',0,0,0,0,0,0,0,1,0,5,2,1,0,0
JUAN JESUS,5,2017-2018,ROMA,15,ROMA,SPAL,97',0,0,0,0,0,0,1,0,1,4,0,0,0,0
JUAN JESUS,5,2017-2018,ROMA,16,CHIEVOVERONA,ROMA,95',0,0,1,0,1,0,0,1,0,8,2,0,0,0
JUAN JESUS,5,2017-2018,ROMA,19,ROMA,SASSUOLO,50',0,0,0,0,0,0,0,0,0,1,0,0,0,0
JUAN JESUS,5,2017-2018,ROMA,21,INTER,ROMA,19',0,0,0,0,0,0,0,0,1,0,1,0,0,0
JUAN JESUS,5,2017-2018,ROMA,22,ROMA,SAMPDORIA,95',0,0,0,1,0,0,0,0,1,2,1,0,0,0
JUAN JESUS,5,2017-2018,ROMA,25,UDINESE,ROMA,95',0,0,0,0,0,0,0,2,0,6,0,0,0,0
JUAN JESUS,5,2017-2018,ROMA,28,ROMA,TORINO,96',0,0,0,0,0,0,0,0,1,4,0,0,0,0
JUAN JESUS,5,2017-2018,ROMA,29,CROTONE,ROMA,95',0,0,0,0,0,0,1,0,2,3,5,0,0,0
JUAN JESUS,5,2017-2018,ROMA,31,ROMA,FIORENTINA,96',0,0,0,0,0,0,1,1,0,7,3,1,0,0
JUAN JESUS,5,2017-2018,ROMA,32,LAZIO,ROMA,94',0,0,0,0,0,0,0,1,0,5,2,1,0,0
JUAN JESUS,5,2017-2018,ROMA,33,ROMA,GENOA,96',0,0,0,0,0,0,0,1,0,3,1,0,0,0
JUAN JESUS,5,2017-2018,ROMA,35,ROMA,CHIEVOVERONA,58',0,0,0,1,0,0,0,2,0,0,2,0,0,1
JUAN JESUS,5,2017-2018,ROMA,37,ROMA,JUVENTUS,92',0,0,0,0,0,0,0,1,0,3,2,0,0,0
