Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
K.MANOLAS,44,2017-2018,ROMA,1,ATALANTA,ROMA,95',0,0,0,0,0,0,0,1,0,1,6,0,0,0
K.MANOLAS,44,2017-2018,ROMA,2,ROMA,INTER,94',0,0,0,0,0,0,0,0,1,3,1,0,0,0
K.MANOLAS,44,2017-2018,ROMA,3,SAMPDORIA,ROMA,98',0,0,0,1,1,0,0,0,0,0,3,0,0,0
K.MANOLAS,44,2017-2018,ROMA,4,ROMA,HELLAS VERONA,80',0,0,0,0,0,0,0,1,0,3,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,6,ROMA,UDINESE,93',0,0,0,0,0,0,0,2,0,4,2,0,0,0
K.MANOLAS,44,2017-2018,ROMA,7,MILAN,ROMA,88',0,0,0,0,0,0,0,2,1,5,1,0,0,0
K.MANOLAS,44,2017-2018,ROMA,8,ROMA,NAPOLI,60',0,0,0,0,0,0,0,0,0,6,2,0,0,0
K.MANOLAS,44,2017-2018,ROMA,12,FIORENTINA,ROMA,95',1,0,1,0,1,0,0,0,1,6,2,0,0,0
K.MANOLAS,44,2017-2018,ROMA,13,ROMA,LAZIO,97',0,0,0,0,0,0,0,1,1,4,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,15,ROMA,SPAL,97',0,0,1,0,1,0,0,1,1,8,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,17,ROMA,CAGLIARI,98',0,0,0,0,0,0,0,2,2,7,2,0,0,0
K.MANOLAS,44,2017-2018,ROMA,18,JUVENTUS,ROMA,95',0,0,0,0,0,0,0,1,0,2,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,19,ROMA,SASSUOLO,45',0,0,0,0,0,0,0,1,0,3,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,20,ROMA,ATALANTA,94',0,0,0,1,0,0,0,0,0,9,3,0,0,0
K.MANOLAS,44,2017-2018,ROMA,21,INTER,ROMA,94',0,0,0,0,0,0,0,0,0,4,3,0,0,0
K.MANOLAS,44,2017-2018,ROMA,22,ROMA,SAMPDORIA,95',0,0,0,0,0,0,0,3,0,5,3,0,0,0
K.MANOLAS,44,2017-2018,ROMA,23,HELLAS VERONA,ROMA,94',0,0,0,0,0,0,0,0,1,2,1,0,0,0
K.MANOLAS,44,2017-2018,ROMA,24,ROMA,BENEVENTO,95',0,0,0,1,1,0,1,1,0,5,3,0,0,0
K.MANOLAS,44,2017-2018,ROMA,25,UDINESE,ROMA,95',0,0,0,0,0,0,0,4,2,3,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,26,ROMA,MILAN,95',0,0,1,0,1,0,0,2,1,7,2,0,0,0
K.MANOLAS,44,2017-2018,ROMA,27,NAPOLI,ROMA,93',0,0,0,0,0,0,0,1,0,5,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,28,ROMA,TORINO,96',1,0,1,1,1,0,0,1,0,3,2,0,0,0
K.MANOLAS,44,2017-2018,ROMA,30,BOLOGNA,ROMA,98',0,0,0,0,0,0,1,1,0,5,2,0,0,0
K.MANOLAS,44,2017-2018,ROMA,31,ROMA,FIORENTINA,58',0,0,0,1,0,0,0,1,0,4,1,0,0,0
K.MANOLAS,44,2017-2018,ROMA,32,LAZIO,ROMA,74',0,0,0,0,0,0,0,1,0,4,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,33,ROMA,GENOA,24',0,0,0,0,0,0,0,0,0,1,1,0,0,0
K.MANOLAS,44,2017-2018,ROMA,34,SPAL,ROMA,96',0,0,0,0,0,0,0,0,0,6,2,0,0,0
K.MANOLAS,44,2017-2018,ROMA,35,ROMA,CHIEVOVERONA,33',0,0,0,0,0,0,0,0,1,0,0,0,0,0
K.MANOLAS,44,2017-2018,ROMA,38,SASSUOLO,ROMA,96',0,0,0,0,0,0,0,1,2,5,1,0,0,0
