Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
L.CASTRO,19,2017-2018,CHIEVOVERONA,1,UDINESE,CHIEVOVERONA,94',0,0,0,1,1,1,2,2,0,3,6,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,2,CHIEVOVERONA,LAZIO,96',0,0,2,3,3,0,2,1,1,6,6,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,3,JUVENTUS,CHIEVOVERONA,93',0,0,0,0,1,0,0,0,1,2,4,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,4,CHIEVOVERONA,ATALANTA,96',0,0,0,2,1,1,3,2,0,7,2,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,5,GENOA,CHIEVOVERONA,93',0,0,1,0,1,1,4,0,2,1,9,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,6,CAGLIARI,CHIEVOVERONA,96',0,0,0,1,0,1,0,3,5,5,3,1,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,7,CHIEVOVERONA,FIORENTINA,95',2,0,2,0,2,1,1,2,1,2,4,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,8,SASSUOLO,CHIEVOVERONA,93',0,0,1,0,1,1,0,4,2,7,9,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,9,CHIEVOVERONA,HELLAS VERONA,95',0,0,1,2,2,0,3,1,2,5,4,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,10,CHIEVOVERONA,MILAN,71',0,0,0,0,0,0,0,1,0,3,5,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,11,SAMPDORIA,CHIEVOVERONA,95',0,0,1,1,2,0,1,2,2,4,7,1,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,12,CHIEVOVERONA,NAPOLI,97',0,0,0,0,0,0,0,0,2,3,4,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,13,TORINO,CHIEVOVERONA,28',0,0,1,0,1,0,0,1,0,0,0,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,24,CHIEVOVERONA,GENOA,36',0,0,0,0,0,0,0,2,2,2,2,1,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,25,CHIEVOVERONA,CAGLIARI,91',0,0,0,0,0,0,3,1,3,3,5,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,26,FIORENTINA,CHIEVOVERONA,97',0,0,1,0,1,0,2,2,1,2,2,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,27,CHIEVOVERONA,SASSUOLO,99',0,0,0,0,0,0,3,3,0,1,2,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,28,HELLAS VERONA,CHIEVOVERONA,95',0,0,2,1,2,0,1,1,2,4,4,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,29,MILAN,CHIEVOVERONA,87',0,0,0,0,0,0,1,3,1,4,5,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,30,CHIEVOVERONA,SAMPDORIA,95',1,0,2,1,3,0,0,5,1,2,2,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,32,CHIEVOVERONA,TORINO,74',0,0,0,0,0,0,0,0,1,2,7,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,34,CHIEVOVERONA,INTER,35',0,0,0,0,0,0,0,0,0,1,0,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,35,ROMA,CHIEVOVERONA,81',0,0,1,0,1,0,2,0,3,4,3,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,37,BOLOGNA,CHIEVOVERONA,95',0,0,3,1,4,1,1,3,2,4,5,0,0,0
L.CASTRO,19,2017-2018,CHIEVOVERONA,38,CHIEVOVERONA,BENEVENTO,61',0,0,1,1,0,0,0,3,0,4,3,0,0,0
