Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
L.GARRITANO,7,2017-2018,CHIEVOVERONA,1,UDINESE,CHIEVOVERONA,19',0,0,0,0,0,0,0,0,0,0,2,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,2,CHIEVOVERONA,LAZIO,14',0,0,0,0,0,0,0,0,0,0,1,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,5,GENOA,CHIEVOVERONA,7',0,0,0,0,0,0,0,0,0,1,1,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,6,CAGLIARI,CHIEVOVERONA,18',0,0,0,1,0,0,0,1,0,1,2,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,8,SASSUOLO,CHIEVOVERONA,85',0,0,0,1,1,0,0,0,1,0,2,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,11,SAMPDORIA,CHIEVOVERONA,19',0,0,0,0,0,0,0,1,0,1,1,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,15,INTER,CHIEVOVERONA,23',0,0,0,0,0,0,0,0,1,0,1,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,18,CHIEVOVERONA,BOLOGNA,28',0,0,0,0,0,1,2,1,0,0,0,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,19,BENEVENTO,CHIEVOVERONA,27',0,0,1,0,0,0,0,1,1,1,1,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,20,CHIEVOVERONA,UDINESE,17',0,0,0,0,0,0,0,0,0,0,3,0,0,0
L.GARRITANO,7,2017-2018,CHIEVOVERONA,21,LAZIO,CHIEVOVERONA,9',0,0,0,0,0,0,0,0,0,0,0,0,0,0
