Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.PJANIC,5,2017-2018,JUVENTUS,1,JUVENTUS,CAGLIARI,95',0,0,0,1,1,1,0,2,1,7,3,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,2,GENOA,JUVENTUS,85',0,1,1,0,0,2,0,0,0,1,5,1,0,0
M.PJANIC,5,2017-2018,JUVENTUS,3,JUVENTUS,CHIEVOVERONA,93',0,0,1,0,2,2,0,0,0,4,7,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,4,SASSUOLO,JUVENTUS,93',0,0,1,1,1,0,0,2,0,7,4,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,5,JUVENTUS,FIORENTINA,20',0,0,1,1,1,0,0,0,0,1,0,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,6,JUVENTUS,TORINO,95',1,0,2,0,2,0,0,1,1,6,1,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,9,UDINESE,JUVENTUS,93',1,0,2,1,2,1,1,2,3,1,2,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,10,JUVENTUS,SPAL,36',0,0,0,0,0,1,0,2,1,0,2,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,11,MILAN,JUVENTUS,95',0,0,0,1,1,0,0,0,3,5,4,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,13,SAMPDORIA,JUVENTUS,82',0,0,0,0,0,0,0,1,0,3,5,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,14,JUVENTUS,CROTONE,22',0,0,0,0,0,1,1,0,0,2,1,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,15,NAPOLI,JUVENTUS,96',0,0,0,0,0,1,3,2,1,5,3,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,16,JUVENTUS,INTER,86',0,0,0,1,0,0,1,5,1,1,2,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,17,BOLOGNA,JUVENTUS,86',1,0,1,1,1,1,1,1,0,4,6,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,18,JUVENTUS,ROMA,95',0,0,2,0,1,0,0,2,2,0,0,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,20,CAGLIARI,JUVENTUS,100',0,0,0,3,2,0,0,1,1,1,8,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,21,JUVENTUS,GENOA,94',0,0,2,4,4,0,0,2,0,3,3,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,22,CHIEVOVERONA,JUVENTUS,91',0,0,1,0,0,0,1,1,0,3,4,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,23,JUVENTUS,SASSUOLO,91',1,0,1,0,1,2,0,0,1,4,4,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,24,FIORENTINA,JUVENTUS,99',0,0,0,0,0,0,0,2,1,10,5,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,25,TORINO,JUVENTUS,96',0,0,1,0,1,1,0,2,1,7,3,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,26,JUVENTUS,ATALANTA,93',0,0,0,1,1,0,0,1,0,6,4,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,27,LAZIO,JUVENTUS,99',0,0,0,0,0,0,0,0,1,9,3,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,29,SPAL,JUVENTUS,96',0,0,1,0,1,0,0,3,1,2,7,1,0,0
M.PJANIC,5,2017-2018,JUVENTUS,30,JUVENTUS,MILAN,77',0,0,0,1,1,1,0,1,3,5,2,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,31,BENEVENTO,JUVENTUS,99',0,0,0,1,0,2,1,2,1,2,1,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,32,JUVENTUS,SAMPDORIA,43',0,0,0,0,0,0,0,0,0,2,1,0,0,0
M.PJANIC,5,2017-2018,JUVENTUS,34,JUVENTUS,NAPOLI,96',0,0,1,0,1,0,0,1,2,9,3,1,0,0
M.PJANIC,5,2017-2018,JUVENTUS,35,INTER,JUVENTUS,87',0,0,0,1,0,0,0,2,0,5,4,1,0,0
M.PJANIC,5,2017-2018,JUVENTUS,37,ROMA,JUVENTUS,92',0,0,0,1,0,0,0,1,0,4,4,1,0,0
M.PJANIC,5,2017-2018,JUVENTUS,38,JUVENTUS,HELLAS VERONA,94',1,0,2,0,1,0,0,0,1,1,1,0,0,0
