Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.ROG,30,2017-2018,NAPOLI,2,NAPOLI,ATALANTA,19',1,0,1,0,1,0,0,0,2,1,1,0,0,0
M.ROG,30,2017-2018,NAPOLI,4,NAPOLI,BENEVENTO,18',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,5,LAZIO,NAPOLI,6',0,0,0,0,0,1,1,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,6,SPAL,NAPOLI,19',0,0,1,0,0,2,0,2,0,2,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,7,NAPOLI,CAGLIARI,20',0,0,0,0,0,0,0,1,0,0,1,0,0,0
M.ROG,30,2017-2018,NAPOLI,8,ROMA,NAPOLI,13',0,0,0,0,0,1,0,0,1,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,9,NAPOLI,INTER,17',0,0,0,0,0,0,0,0,0,1,1,0,0,0
M.ROG,30,2017-2018,NAPOLI,10,GENOA,NAPOLI,22',0,0,0,0,0,1,0,1,1,0,3,1,0,0
M.ROG,30,2017-2018,NAPOLI,11,NAPOLI,SASSUOLO,18',0,0,0,0,0,0,0,1,0,1,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,13,NAPOLI,MILAN,17',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,14,UDINESE,NAPOLI,10',0,0,0,0,0,0,0,0,1,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,16,NAPOLI,FIORENTINA,17',0,0,0,0,0,0,0,1,0,0,0,1,0,0
M.ROG,30,2017-2018,NAPOLI,17,TORINO,NAPOLI,10',0,0,0,0,0,0,0,2,0,0,2,0,0,0
M.ROG,30,2017-2018,NAPOLI,19,CROTONE,NAPOLI,6',0,0,0,0,0,0,0,0,0,0,2,0,0,0
M.ROG,30,2017-2018,NAPOLI,20,NAPOLI,HELLAS VERONA,8',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,21,ATALANTA,NAPOLI,9',0,0,1,0,1,0,0,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,22,NAPOLI,BOLOGNA,14',0,0,0,0,0,0,0,1,0,1,1,0,0,0
M.ROG,30,2017-2018,NAPOLI,23,BENEVENTO,NAPOLI,20',0,0,1,0,0,0,0,0,0,1,3,0,0,0
M.ROG,30,2017-2018,NAPOLI,24,NAPOLI,LAZIO,11',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,25,NAPOLI,SPAL,9',0,0,0,1,1,0,0,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,28,INTER,NAPOLI,4',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,29,NAPOLI,GENOA,7',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,31,NAPOLI,CHIEVOVERONA,1',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,32,MILAN,NAPOLI,6',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,33,NAPOLI,UDINESE,12',0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.ROG,30,2017-2018,NAPOLI,34,JUVENTUS,NAPOLI,14',0,0,0,0,0,0,0,0,0,0,1,0,0,0
M.ROG,30,2017-2018,NAPOLI,37,SAMPDORIA,NAPOLI,15',0,0,0,0,0,0,0,0,0,3,1,0,0,0
M.ROG,30,2017-2018,NAPOLI,38,NAPOLI,CROTONE,17',0,0,0,0,0,0,0,0,0,1,1,0,0,0
