Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
M.ROHDEN,6,2017-2018,CROTONE,1,CROTONE,MILAN,60',0,0,0,0,0,0,1,2,2,0,3,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,3,CAGLIARI,CROTONE,66',0,0,1,0,0,0,0,1,1,2,1,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,4,CROTONE,INTER,73',0,0,1,0,1,0,0,1,1,1,3,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,5,ATALANTA,CROTONE,94',0,0,0,1,0,0,0,0,0,1,5,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,6,CROTONE,BENEVENTO,96',1,0,2,2,2,1,0,0,0,1,2,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,7,SPAL,CROTONE,71',0,0,2,0,1,0,0,2,1,1,2,1,0,0
M.ROHDEN,6,2017-2018,CROTONE,8,CROTONE,TORINO,95',1,0,1,1,2,0,0,4,2,2,2,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,10,ROMA,CROTONE,61',0,0,1,0,1,0,1,0,0,1,3,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,11,CROTONE,FIORENTINA,27',0,0,0,0,0,0,0,0,1,0,1,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,12,BOLOGNA,CROTONE,35',0,0,0,0,0,0,0,0,0,1,1,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,13,CROTONE,GENOA,32',0,0,1,1,1,0,0,1,0,0,2,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,14,JUVENTUS,CROTONE,92',0,0,0,0,0,0,0,3,1,3,11,1,0,0
M.ROHDEN,6,2017-2018,CROTONE,15,CROTONE,UDINESE,61',0,0,0,0,1,0,0,1,0,2,2,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,16,SASSUOLO,CROTONE,57',0,0,0,0,0,0,0,0,0,2,1,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,17,CROTONE,CHIEVOVERONA,84',0,0,1,1,1,1,5,1,3,1,2,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,18,LAZIO,CROTONE,94',0,0,0,0,0,0,0,1,3,2,6,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,19,CROTONE,NAPOLI,95',0,0,0,0,0,0,0,1,2,3,7,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,20,MILAN,CROTONE,65',0,0,0,0,0,0,0,2,1,1,2,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,27,TORINO,CROTONE,82',0,0,0,0,0,0,1,1,4,2,5,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,31,CROTONE,BOLOGNA,15',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,33,CROTONE,JUVENTUS,88',0,0,0,1,0,0,1,1,0,1,0,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,34,UDINESE,CROTONE,94',0,0,0,0,0,0,0,0,0,2,6,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,35,CROTONE,SASSUOLO,19',0,0,0,0,0,0,0,0,0,1,0,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,36,CHIEVOVERONA,CROTONE,17',0,0,0,0,0,0,0,1,0,0,0,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,37,CROTONE,LAZIO,96',0,0,1,0,1,0,0,1,5,0,5,0,0,0
M.ROHDEN,6,2017-2018,CROTONE,38,NAPOLI,CROTONE,45',0,0,0,1,0,0,0,0,0,0,0,0,0,0
