Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
MAXI LOPEZ,20,2017-2018,UDINESE,8,FIORENTINA,UDINESE,94',0,0,0,0,0,0,0,3,1,0,4,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,9,UDINESE,JUVENTUS,93',0,0,0,1,1,0,0,0,1,0,0,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,10,SASSUOLO,UDINESE,45',0,0,0,1,1,0,0,1,2,1,3,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,11,UDINESE,ATALANTA,95',0,0,0,0,0,0,0,7,1,2,8,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,12,LAZIO,UDINESE,95',0,0,0,0,0,0,0,1,1,0,5,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,13,UDINESE,CAGLIARI,64',0,0,1,1,2,0,0,0,1,1,1,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,15,CROTONE,UDINESE,66',0,0,0,0,0,1,0,3,0,1,5,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,16,UDINESE,BENEVENTO,63',0,0,0,0,0,0,0,3,0,1,6,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,18,UDINESE,HELLAS VERONA,94',0,0,0,3,1,0,0,2,1,0,1,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,19,BOLOGNA,UDINESE,46',0,0,0,0,0,0,0,0,1,1,0,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,21,UDINESE,SPAL,22',0,0,0,0,0,0,0,0,1,0,3,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,22,GENOA,UDINESE,36',0,0,0,1,0,0,0,3,0,1,2,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,23,UDINESE,MILAN,26',0,0,1,0,1,0,0,0,0,0,0,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,24,TORINO,UDINESE,98',0,0,1,0,1,1,0,4,1,1,14,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,25,UDINESE,ROMA,17',0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,26,SAMPDORIA,UDINESE,32',0,0,1,0,1,0,0,1,0,0,0,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,28,JUVENTUS,UDINESE,62',0,0,0,0,0,0,0,1,1,0,4,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,29,UDINESE,SASSUOLO,73',0,0,0,0,0,0,0,2,2,0,5,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,30,ATALANTA,UDINESE,20',0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,31,UDINESE,LAZIO,73',0,0,0,1,0,1,0,2,2,0,0,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,32,CAGLIARI,UDINESE,68',0,0,0,0,0,1,0,1,1,0,4,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,34,UDINESE,CROTONE,63',0,0,0,0,0,1,0,4,0,1,8,0,0,0
MAXI LOPEZ,20,2017-2018,UDINESE,37,HELLAS VERONA,UDINESE,1',0,0,0,0,0,0,0,0,0,0,0,0,0,0
