Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
P.DYBALA,10,2017-2018,JUVENTUS,1,JUVENTUS,CAGLIARI,95',1,0,4,2,6,0,0,0,2,3,9,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,2,GENOA,JUVENTUS,99',3,0,5,0,4,0,0,0,1,1,5,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,3,JUVENTUS,CHIEVOVERONA,39',1,0,2,2,2,0,0,1,0,0,2,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,4,SASSUOLO,JUVENTUS,85',3,0,3,0,3,0,2,1,1,2,10,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,5,JUVENTUS,FIORENTINA,76',0,0,0,1,1,0,0,1,4,5,8,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,6,JUVENTUS,TORINO,95',2,0,4,4,4,0,1,2,4,2,3,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,7,ATALANTA,JUVENTUS,97',0,0,2,2,2,2,0,0,4,0,10,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,8,JUVENTUS,LAZIO,32',0,0,2,0,2,0,1,0,1,0,2,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,9,UDINESE,JUVENTUS,69',0,0,0,0,0,1,0,1,3,3,1,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,10,JUVENTUS,SPAL,95',1,0,3,0,3,0,1,0,0,7,3,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,11,MILAN,JUVENTUS,95',0,0,2,2,2,2,0,1,5,2,5,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,12,JUVENTUS,BENEVENTO,90',0,0,2,1,3,2,0,2,3,0,8,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,13,SAMPDORIA,JUVENTUS,34',1,0,1,1,1,0,0,0,2,0,2,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,14,JUVENTUS,CROTONE,92',0,0,2,2,1,0,2,0,1,1,11,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,15,NAPOLI,JUVENTUS,96',0,0,0,1,0,1,0,1,2,2,8,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,16,JUVENTUS,INTER,18',0,0,0,0,0,0,0,0,0,1,3,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,17,BOLOGNA,JUVENTUS,18',0,0,0,1,1,0,0,0,0,0,1,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,19,HELLAS VERONA,JUVENTUS,94',2,0,4,0,3,0,0,0,3,3,3,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,20,CAGLIARI,JUVENTUS,53',0,0,1,0,1,0,0,0,2,0,2,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,25,TORINO,JUVENTUS,28',0,0,1,2,2,0,0,0,3,0,1,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,26,JUVENTUS,ATALANTA,93',0,0,2,0,1,1,2,0,5,0,10,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,27,LAZIO,JUVENTUS,97',1,0,2,1,2,0,0,0,1,2,7,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,28,JUVENTUS,UDINESE,94',2,0,3,1,4,0,1,0,2,0,5,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,29,SPAL,JUVENTUS,96',0,0,0,3,2,0,0,0,5,2,3,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,30,JUVENTUS,MILAN,94',1,0,1,0,1,1,0,0,1,2,6,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,31,BENEVENTO,JUVENTUS,99',3,0,4,0,4,0,0,1,4,0,4,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,32,JUVENTUS,SAMPDORIA,68',0,0,0,1,1,0,0,1,1,1,4,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,33,CROTONE,JUVENTUS,89',0,0,0,0,0,0,0,0,1,0,5,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,34,JUVENTUS,NAPOLI,47',0,0,0,0,0,0,0,0,2,1,2,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,35,INTER,JUVENTUS,34',0,0,2,0,1,0,0,0,0,0,0,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,36,JUVENTUS,BOLOGNA,96',1,0,1,0,1,1,0,1,1,4,6,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,37,ROMA,JUVENTUS,92',0,0,0,1,0,0,0,1,5,1,6,0,0,0
P.DYBALA,10,2017-2018,JUVENTUS,38,JUVENTUS,HELLAS VERONA,94',0,0,3,2,2,1,0,0,5,0,4,0,0,0
