Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,15,INTER,CHIEVOVERONA,5',0,0,0,0,0,0,1,0,0,0,0,0,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,16,CHIEVOVERONA,ROMA,95',0,0,0,0,0,0,1,1,0,7,2,0,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,18,CHIEVOVERONA,BOLOGNA,98',0,0,0,0,0,0,4,5,0,5,1,1,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,22,CHIEVOVERONA,JUVENTUS,91',0,0,0,0,0,0,1,0,1,3,3,0,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,23,ATALANTA,CHIEVOVERONA,97',0,0,0,0,0,0,2,0,0,3,3,0,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,26,FIORENTINA,CHIEVOVERONA,97',0,0,0,0,0,0,2,1,2,2,2,0,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,29,MILAN,CHIEVOVERONA,97',0,0,0,0,0,0,1,2,1,3,5,1,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,32,CHIEVOVERONA,TORINO,87',0,0,0,0,0,0,3,0,0,2,5,0,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,33,SPAL,CHIEVOVERONA,58',0,0,0,0,0,0,2,1,0,2,4,1,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,34,CHIEVOVERONA,INTER,62',0,0,0,0,0,0,3,0,1,3,3,0,0,0
P.JAROSZYNSKI,2,2017-2018,CHIEVOVERONA,35,ROMA,CHIEVOVERONA,67',0,0,0,0,0,0,0,0,1,1,3,0,0,0
