Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
P.ZIELINSKI,20,2017-2018,NAPOLI,1,HELLAS VERONA,NAPOLI,95',0,0,0,1,1,1,0,0,0,4,4,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,2,NAPOLI,ATALANTA,77',1,0,2,0,2,0,0,1,0,1,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,3,BOLOGNA,NAPOLI,31',1,0,1,0,1,0,0,0,0,0,1,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,5,LAZIO,NAPOLI,19',0,0,0,0,0,0,0,0,0,1,1,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,6,SPAL,NAPOLI,71',0,0,1,1,0,0,0,0,1,2,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,8,ROMA,NAPOLI,24',0,0,0,0,0,0,0,0,1,0,3,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,9,NAPOLI,INTER,21',0,0,1,0,1,1,0,0,1,0,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,10,GENOA,NAPOLI,93',0,0,0,2,1,0,0,0,1,6,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,11,NAPOLI,SASSUOLO,27',0,0,1,0,1,0,0,2,3,1,2,1,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,12,CHIEVOVERONA,NAPOLI,74',0,0,1,1,0,0,1,1,0,3,1,1,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,13,NAPOLI,MILAN,26',1,0,1,0,1,0,0,2,0,0,0,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,14,UDINESE,NAPOLI,16',0,0,0,0,0,0,2,0,2,0,1,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,15,NAPOLI,JUVENTUS,27',0,0,0,0,0,0,0,0,0,1,1,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,16,NAPOLI,FIORENTINA,74',0,0,1,1,2,0,1,0,0,1,3,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,17,TORINO,NAPOLI,70',1,0,2,0,2,0,0,0,1,3,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,18,NAPOLI,SAMPDORIA,24',0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,19,CROTONE,NAPOLI,28',0,0,0,0,0,0,0,0,1,0,1,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,20,NAPOLI,HELLAS VERONA,18',0,0,0,0,0,0,0,1,1,0,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,21,ATALANTA,NAPOLI,87',0,0,0,1,1,0,0,0,0,4,7,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,22,NAPOLI,BOLOGNA,28',0,0,0,0,0,1,0,0,1,3,4,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,23,BENEVENTO,NAPOLI,26',0,0,0,0,0,0,0,0,0,1,1,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,24,NAPOLI,LAZIO,47',0,0,1,0,1,1,1,0,0,0,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,25,NAPOLI,SPAL,25',0,0,0,1,0,0,0,1,1,0,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,26,CAGLIARI,NAPOLI,27',0,0,0,0,0,0,0,0,1,0,1,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,27,NAPOLI,ROMA,65',0,0,1,0,1,1,0,0,1,1,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,28,INTER,NAPOLI,23',0,0,0,0,0,0,0,0,1,1,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,29,NAPOLI,GENOA,74',0,0,0,2,0,0,0,2,1,3,8,1,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,30,SASSUOLO,NAPOLI,97',0,0,0,0,0,1,1,0,1,0,3,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,31,NAPOLI,CHIEVOVERONA,25',0,0,0,1,0,0,0,0,0,0,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,32,MILAN,NAPOLI,27',0,0,0,0,0,1,0,0,0,1,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,33,NAPOLI,UDINESE,85',0,0,1,0,0,1,4,1,3,2,7,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,34,JUVENTUS,NAPOLI,28',0,0,1,0,0,0,0,0,0,2,2,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,35,FIORENTINA,NAPOLI,36',0,0,0,0,0,0,0,0,1,1,1,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,36,NAPOLI,TORINO,69',0,0,0,0,0,0,0,1,0,0,3,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,37,SAMPDORIA,NAPOLI,97',0,0,3,0,0,0,0,0,1,3,5,0,0,0
P.ZIELINSKI,20,2017-2018,NAPOLI,38,NAPOLI,CROTONE,94',0,0,2,1,2,0,1,0,1,5,3,0,0,0
